,playlistID,playlistName,nTracks,type,owner,description,url,nFoll,TrackName,TrackID,SampleURL,ReleaseYear,Genres,Popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mode,duration_ms,reducedGenre
317,5HTw1a3mjz2f9wLqRjFxkz,musaaErika,419,user,Erika Sepänsaari,,https://open.spotify.com/playlist/5HTw1a3mjz2f9wLqRjFxkz,1,Circles,29EmGovrh016wnbiSiqjLK,,2012-11-05,"['folk-pop', 'neo mellow']",0,0.384,0.325,-9.596,0.029,0.803,0.000255,0.0965,0.44,81.964,4,1,192280,pop
318,5HTw1a3mjz2f9wLqRjFxkz,musaaErika,419,user,Erika Sepänsaari,,https://open.spotify.com/playlist/5HTw1a3mjz2f9wLqRjFxkz,1,Fix You,7LVHVU3tWfcxj5aiPFEW4Q,https://p.scdn.co/mp3-preview/4ee64ea0fcfc1e6142d3b1e76464e95834fa87dd?cid=0c571addac5347aa9932ddc72e415d79,2005-06-07,"['permanent wave', 'pop']",86,0.209,0.417,-8.74,0.0338,0.164,0.00196,0.113,0.124,138.178,3,1,295533,pop
319,5HTw1a3mjz2f9wLqRjFxkz,musaaErika,419,user,Erika Sepänsaari,,https://open.spotify.com/playlist/5HTw1a3mjz2f9wLqRjFxkz,1,Hello My Old Heart,5wLBkpEwHIlNZJaeh0s7bR,,2011-12-01,"['folk-pop', 'pov: indie', 'san marcos tx indie', 'stomp and holler']",0,0.557,0.299,-10.634,0.0266,0.624,0.0308,0.0914,0.297,90.081,0,1,256007,indie
320,5HTw1a3mjz2f9wLqRjFxkz,musaaErika,419,user,Erika Sepänsaari,,https://open.spotify.com/playlist/5HTw1a3mjz2f9wLqRjFxkz,1,Radioactive,6h1Wkcm9qz79Xt1Qnp4n4A,,2012-01-01,"['modern rock', 'pop', 'rock']",0,0.449,0.799,-3.467,0.0694,0.118,6.26e-05,0.238,0.206,136.304,9,1,188000,rock
321,5HTw1a3mjz2f9wLqRjFxkz,musaaErika,419,user,Erika Sepänsaari,,https://open.spotify.com/playlist/5HTw1a3mjz2f9wLqRjFxkz,1,1973,3C9j8oIlWwZY8OuW5F00ug,,2007-08-24,"['neo mellow', 'pop rock']",0,0.72,0.668,-7.928,0.0269,0.0652,0.00664,0.0789,0.768,123.007,9,1,280027,pop
322,5HTw1a3mjz2f9wLqRjFxkz,musaaErika,419,user,Erika Sepänsaari,,https://open.spotify.com/playlist/5HTw1a3mjz2f9wLqRjFxkz,1,Sun,4VRml1BGkDaZWPmG6zxlIE,https://p.scdn.co/mp3-preview/01d6093c5109aa2d2ca950ae037c0392f0376cd1?cid=0c571addac5347aa9932ddc72e415d79,2013-09-16,"['ambient worship', 'chamber pop']",27,0.327,0.316,-11.339,0.0338,0.774,0.00537,0.107,0.0397,151.917,0,1,277155,pop
323,5HTw1a3mjz2f9wLqRjFxkz,musaaErika,419,user,Erika Sepänsaari,,https://open.spotify.com/playlist/5HTw1a3mjz2f9wLqRjFxkz,1,I'm Gonna Be (500 Miles),09MdiypXlcb1kohV3cO03p,https://p.scdn.co/mp3-preview/c59ed92aea5dce20affa21ff1be6ff011e5814b3?cid=0c571addac5347aa9932ddc72e415d79,2013-05-07,"['ambient worship', 'chamber pop']",47,0.413,0.202,-14.05,0.0444,0.951,0.0,0.125,0.266,128.767,4,1,212045,pop
324,5HTw1a3mjz2f9wLqRjFxkz,musaaErika,419,user,Erika Sepänsaari,,https://open.spotify.com/playlist/5HTw1a3mjz2f9wLqRjFxkz,1,This Is Where I Belong - Soundtrack Version,5Z9iYd55FHNUeIIvUxXHZ8,,2002-01-01,"['canadian pop', 'canadian singer-songwriter', 'classic canadian rock', 'heartland rock', 'mellow gold', 'soft rock']",0,0.39,0.318,-15.569,0.0287,0.882,7.48e-05,0.349,0.1,96.984,10,1,141133,rock
325,5HTw1a3mjz2f9wLqRjFxkz,musaaErika,419,user,Erika Sepänsaari,,https://open.spotify.com/playlist/5HTw1a3mjz2f9wLqRjFxkz,1,Pluto,4LfKgNjjVUcFSqfv7f0eyw,https://p.scdn.co/mp3-preview/f482de46baec1c5a6bb026a6655b9527d66dc55a?cid=0c571addac5347aa9932ddc72e415d79,2013-12-10,"['ambient worship', 'chamber pop']",19,0.46,0.489,-9.754,0.0363,0.622,0.0,0.0987,0.494,149.999,0,1,229352,pop
326,5HTw1a3mjz2f9wLqRjFxkz,musaaErika,419,user,Erika Sepänsaari,,https://open.spotify.com/playlist/5HTw1a3mjz2f9wLqRjFxkz,1,The Safety Dance,4vLryDdvtjFg1Buitj696E,,2013-12-03,"['ambient worship', 'chamber pop']",0,0.443,0.349,-10.028,0.0365,0.706,0.000206,0.12,0.423,136.44,5,1,206797,pop
