,playlistID,playlistName,nTracks,type,owner,description,url,nFoll,TrackName,TrackID,SampleURL,ReleaseYear,Genres,Popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mode,duration_ms,reducedGenre
0,7JeutIjM4H2PK8taoLlmc4,Jukebox 2023,129,user,Judith Heldens,,https://open.spotify.com/playlist/7JeutIjM4H2PK8taoLlmc4,0,River,3mRLHiSHYtC8Hk7bzZdUs1,https://p.scdn.co/mp3-preview/45f3948eda701732ce1ab0958ea55f0fe81e2b21?cid=0c571addac5347aa9932ddc72e415d79,2018-04-20,['modern alternative rock'],76,0.733,0.477,-6.737,0.0687,0.302,2.97e-06,0.0579,0.545,62.507,2,0,216133,rock
1,7JeutIjM4H2PK8taoLlmc4,Jukebox 2023,129,user,Judith Heldens,,https://open.spotify.com/playlist/7JeutIjM4H2PK8taoLlmc4,0,20s,62Vz24WH66GYadBPFJKwT7,https://p.scdn.co/mp3-preview/24bbf95a86167b373e8dce45e4162ff8ba6aa73a?cid=0c571addac5347aa9932ddc72e415d79,2022-02-11,['uk pop'],65,0.629,0.681,-6.724,0.18,0.0454,0.0,0.362,0.377,150.016,2,1,184458,pop
2,7JeutIjM4H2PK8taoLlmc4,Jukebox 2023,129,user,Judith Heldens,,https://open.spotify.com/playlist/7JeutIjM4H2PK8taoLlmc4,0,Use Somebody,5VGlqQANWDKJFl0MBG3sg2,https://p.scdn.co/mp3-preview/6b0e4d00b02ff767f436c2c43f9f8b2a12b35472?cid=0c571addac5347aa9932ddc72e415d79,2008-09-23,"['modern rock', 'rock']",80,0.276,0.715,-5.356,0.0432,0.00552,0.000417,0.201,0.173,137.028,0,1,230760,rock
3,7JeutIjM4H2PK8taoLlmc4,Jukebox 2023,129,user,Judith Heldens,,https://open.spotify.com/playlist/7JeutIjM4H2PK8taoLlmc4,0,Dandelions,2eAvDnpXP5W0cVtiI0PUxV,https://p.scdn.co/mp3-preview/3e55602bc286bc1fad9347931327e649ff9adfa1?cid=0c571addac5347aa9932ddc72e415d79,2017-05-05,"['alt z', 'canadian contemporary r&b', 'canadian pop', 'pop']",91,0.609,0.692,-2.958,0.0259,0.0157,0.0,0.0864,0.454,116.959,1,1,233720,pop
4,7JeutIjM4H2PK8taoLlmc4,Jukebox 2023,129,user,Judith Heldens,,https://open.spotify.com/playlist/7JeutIjM4H2PK8taoLlmc4,0,Castles,5tZWtGT65sMrDVPB5H444n,https://p.scdn.co/mp3-preview/70f6f727c28ba2dd3c5e1db52596a7ae288cc2c3?cid=0c571addac5347aa9932ddc72e415d79,2019-07-19,['uk pop'],62,0.672,0.752,-4.866,0.0843,0.0046,0.00047,0.056,0.429,116.945,4,1,211843,pop
5,7JeutIjM4H2PK8taoLlmc4,Jukebox 2023,129,user,Judith Heldens,,https://open.spotify.com/playlist/7JeutIjM4H2PK8taoLlmc4,0,Tubthumping,22HYEJveCvykVDHDiEEmjZ,https://p.scdn.co/mp3-preview/135ed2e5aff4240f7a3ee668a303eb87c2c01898?cid=0c571addac5347aa9932ddc72e415d79,1997-09-01,['anarcho-punk'],71,0.348,0.88,-7.366,0.0978,0.128,0.0,0.357,0.606,101.185,2,1,278779,punk
6,7JeutIjM4H2PK8taoLlmc4,Jukebox 2023,129,user,Judith Heldens,,https://open.spotify.com/playlist/7JeutIjM4H2PK8taoLlmc4,0,On Top Of The World,213x4gsFDm04hSqIUkg88w,https://p.scdn.co/mp3-preview/63c233fd86794fed3c0b3a3ba5e1e4916e1a23bc?cid=0c571addac5347aa9932ddc72e415d79,2012-09-04,"['modern rock', 'pop', 'rock']",80,0.631,0.924,-5.589,0.146,0.0841,3.59e-06,0.084,0.755,100.045,0,1,192280,rock
7,7JeutIjM4H2PK8taoLlmc4,Jukebox 2023,129,user,Judith Heldens,,https://open.spotify.com/playlist/7JeutIjM4H2PK8taoLlmc4,0,Little Bit of Love,3Iba59sFmGhQ4kbCY5L8AX,https://p.scdn.co/mp3-preview/d254f2af818bab3843a1de549ba19ac75dae62d3?cid=0c571addac5347aa9932ddc72e415d79,2021-03-12,['uk pop'],70,0.689,0.706,-4.48,0.0312,0.0833,0.0,0.105,0.623,106.52,1,0,226268,pop
8,7JeutIjM4H2PK8taoLlmc4,Jukebox 2023,129,user,Judith Heldens,,https://open.spotify.com/playlist/7JeutIjM4H2PK8taoLlmc4,0,Pompeii,51codqiX6WYdVHVaMAQTgy,https://p.scdn.co/mp3-preview/18da10d3596cdce4434dbeebf94fc75790217d50?cid=0c571addac5347aa9932ddc72e415d79,2014-11-01,"['metropopolis', 'modern rock', 'pop']",55,0.689,0.727,-6.399,0.04,0.0864,0.0,0.237,0.546,127.464,9,1,214973,pop
9,7JeutIjM4H2PK8taoLlmc4,Jukebox 2023,129,user,Judith Heldens,,https://open.spotify.com/playlist/7JeutIjM4H2PK8taoLlmc4,0,Little Lion Man,3GfgC3AawvFSCowb90vpzl,https://p.scdn.co/mp3-preview/038f6d020d380673826f719525f362d37373a0c9?cid=0c571addac5347aa9932ddc72e415d79,2012-11-16,"['modern folk rock', 'modern rock', 'neo mellow', 'stomp and holler', 'uk americana']",61,0.521,0.496,-8.018,0.0271,0.0244,7.31e-06,0.0895,0.445,138.633,5,1,247000,rock
10,7JeutIjM4H2PK8taoLlmc4,Jukebox 2023,129,user,Judith Heldens,,https://open.spotify.com/playlist/7JeutIjM4H2PK8taoLlmc4,0,Ugly Heart,1Vv0MPcooEoQzVZYfKMgKW,https://p.scdn.co/mp3-preview/bb52872830c333d291b1ba4c8761715254221fea?cid=0c571addac5347aa9932ddc72e415d79,2014-06-03,"['girl group', 'post-teen pop', 'talent show']",70,0.649,0.79,-5.529,0.0482,0.0167,0.0,0.255,0.458,124.993,9,1,199580,pop
11,7JeutIjM4H2PK8taoLlmc4,Jukebox 2023,129,user,Judith Heldens,,https://open.spotify.com/playlist/7JeutIjM4H2PK8taoLlmc4,0,Love Generation - Radio Edit,7M13FwBAKWNa2jqcZeUhL6,https://p.scdn.co/mp3-preview/d9c67085494ffa814feea41ccfe67624464421e5?cid=0c571addac5347aa9932ddc72e415d79,2005-06-20,"['disco house', 'filter house']",72,0.723,0.872,-3.617,0.0586,0.192,0.000154,0.0814,0.544,128.038,1,1,204798,house
12,7JeutIjM4H2PK8taoLlmc4,Jukebox 2023,129,user,Judith Heldens,,https://open.spotify.com/playlist/7JeutIjM4H2PK8taoLlmc4,0,Lost,4L7jMAP8UcIe309yQmkdcO,,2012-07-10,"['lgbtq+ hip hop', 'neo soul']",2,0.913,0.603,-4.892,0.226,0.0272,0.000503,0.167,0.497,123.061,8,1,234093,soul
13,7JeutIjM4H2PK8taoLlmc4,Jukebox 2023,129,user,Judith Heldens,,https://open.spotify.com/playlist/7JeutIjM4H2PK8taoLlmc4,0,All Star,3cfOd4CMv2snFaKAnMdnvK,https://p.scdn.co/mp3-preview/70327c47dd089121bca4212f5db3d8ad81f538fe?cid=0c571addac5347aa9932ddc72e415d79,1999-06-08,"['pop rock', 'post-grunge']",82,0.731,0.867,-5.881,0.032,0.0395,0.0,0.0861,0.776,104.019,11,1,200373,pop
14,7JeutIjM4H2PK8taoLlmc4,Jukebox 2023,129,user,Judith Heldens,,https://open.spotify.com/playlist/7JeutIjM4H2PK8taoLlmc4,0,"thank u, next",3e9HZxeyfWwjeyPAMmWSSQ,https://p.scdn.co/mp3-preview/44b7c169577a7c80e052a775b6f1930213b2acfd?cid=0c571addac5347aa9932ddc72e415d79,2019-02-08,['pop'],83,0.717,0.653,-5.634,0.0658,0.229,0.0,0.101,0.412,106.966,1,1,207320,pop
15,7JeutIjM4H2PK8taoLlmc4,Jukebox 2023,129,user,Judith Heldens,,https://open.spotify.com/playlist/7JeutIjM4H2PK8taoLlmc4,0,Unwritten,3U5JVgI2x4rDyHGObzJfNf,https://p.scdn.co/mp3-preview/5559460cc3e2c5aa1eeea1c16cf838cecde326d8?cid=0c571addac5347aa9932ddc72e415d79,2004-08-30,"['dance pop', 'pop', 'post-teen pop']",80,0.706,0.8,-6.333,0.0399,0.00584,0.0,0.0822,0.629,100.011,5,1,259333,pop
