,playlistID,playlistName,nTracks,type,owner,description,url,nFoll,TrackName,TrackID,SampleURL,ReleaseYear,Genres,Popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mode,duration_ms,reducedGenre
129,2AtCkwddDCdJRTL7NSax7a,Chill,27,user,Olivia Wilkinson,,https://open.spotify.com/playlist/2AtCkwddDCdJRTL7NSax7a,0,Sound & Color,3zWgFhqjlGiM7p1ECrxclH,https://p.scdn.co/mp3-preview/4021d168b60349d3868f8f27f16584dd78298327?cid=0c571addac5347aa9932ddc72e415d79,2015-04-20,"['alabama indie', 'modern blues rock', 'rock']",44,0.548,0.428,-7.399,0.0608,0.847,0.608,0.0827,0.181,114.752,2,1,182467,rock
130,2AtCkwddDCdJRTL7NSax7a,Chill,27,user,Olivia Wilkinson,,https://open.spotify.com/playlist/2AtCkwddDCdJRTL7NSax7a,0,American,7uwOtFROjnFIhozLrqbp4R,https://p.scdn.co/mp3-preview/13aa4f124c44d2b4bf03a9940396d267f869eb3e?cid=0c571addac5347aa9932ddc72e415d79,2012-01-01,"['art pop', 'pop']",52,0.397,0.585,-6.518,0.0359,0.535,0.000438,0.0976,0.18,143.983,7,1,248907,pop
131,2AtCkwddDCdJRTL7NSax7a,Chill,27,user,Olivia Wilkinson,,https://open.spotify.com/playlist/2AtCkwddDCdJRTL7NSax7a,0,Like Real People Do,4LGJ2pLDvTRnul3EcZoYkX,https://p.scdn.co/mp3-preview/f8ea366e994ec9cd3cbad307fbf19c6e657c290c?cid=0c571addac5347aa9932ddc72e415d79,2014-07-20,"['irish singer-songwriter', 'modern rock', 'pop', 'pov: indie']",70,0.569,0.183,-14.371,0.0298,0.914,0.404,0.106,0.13,70.06,7,1,198029,pop
132,2AtCkwddDCdJRTL7NSax7a,Chill,27,user,Olivia Wilkinson,,https://open.spotify.com/playlist/2AtCkwddDCdJRTL7NSax7a,0,Suck It and See,0LxeKwg9t7HOnyfv4bTALT,https://p.scdn.co/mp3-preview/dccb0f0b0e9f889867a4117248e512a0fc0a2462?cid=0c571addac5347aa9932ddc72e415d79,2011-06-06,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",66,0.339,0.932,-5.017,0.057,0.00105,0.114,0.255,0.586,128.291,4,1,225987,rock
133,2AtCkwddDCdJRTL7NSax7a,Chill,27,user,Olivia Wilkinson,,https://open.spotify.com/playlist/2AtCkwddDCdJRTL7NSax7a,0,Feel Like A Fool,5RcuACCOhgoc4ZH57AVCLA,https://p.scdn.co/mp3-preview/978da144b944f971b597f274621913380c1dfaba?cid=0c571addac5347aa9932ddc72e415d79,2018-04-06,['colombian pop'],56,0.7,0.812,-4.8,0.0311,0.0245,0.0,0.102,0.855,107.983,3,1,185239,pop
134,2AtCkwddDCdJRTL7NSax7a,Chill,27,user,Olivia Wilkinson,,https://open.spotify.com/playlist/2AtCkwddDCdJRTL7NSax7a,0,Today,0jiKqHfWmSgPInSsGWBjbL,https://p.scdn.co/mp3-preview/2f5748ef11cc4c7b08a170856f5f1d924c17896b?cid=0c571addac5347aa9932ddc72e415d79,2006-05-22,"['downtempo', 'electronica', 'trip hop']",60,0.576,0.673,-11.383,0.0307,0.0616,0.00601,0.114,0.57,168.413,2,1,245640,electronic
135,2AtCkwddDCdJRTL7NSax7a,Chill,27,user,Olivia Wilkinson,,https://open.spotify.com/playlist/2AtCkwddDCdJRTL7NSax7a,0,Kong,7Cg3F9ZsZ2TYUnlza49NYh,https://p.scdn.co/mp3-preview/5d4ca824dabf031ca06a259fae5468f1433a8220?cid=0c571addac5347aa9932ddc72e415d79,2010-03-29,"['downtempo', 'electronica', 'indietronica', 'instrumental hip hop', 'jazztronica', 'nu jazz', 'trip hop']",65,0.542,0.749,-8.333,0.0277,0.173,0.942,0.315,0.674,94.031,6,0,237827,jazz
136,2AtCkwddDCdJRTL7NSax7a,Chill,27,user,Olivia Wilkinson,,https://open.spotify.com/playlist/2AtCkwddDCdJRTL7NSax7a,0,Borderline - Blood Orange Remix,7IbGa7PhnXHvUOvhELtGgL,https://p.scdn.co/mp3-preview/664967e6a95f6b50fa74826e10a613f6d6699dbd?cid=0c571addac5347aa9932ddc72e415d79,2020-09-25,"['australian psych', 'modern rock', 'neo-psychedelic', 'rock']",49,0.48,0.429,-8.848,0.0479,0.355,0.0552,0.114,0.315,174.27,10,0,437933,rock
137,2AtCkwddDCdJRTL7NSax7a,Chill,27,user,Olivia Wilkinson,,https://open.spotify.com/playlist/2AtCkwddDCdJRTL7NSax7a,0,Next,6rHzsKxxxzIFRFA25wYjHQ,https://p.scdn.co/mp3-preview/71d53457e3862eac15437d0028d6f60d022af000?cid=0c571addac5347aa9932ddc72e415d79,2017-06-16,['bedroom pop'],25,0.437,0.628,-5.417,0.0374,0.876,0.000127,0.364,0.558,122.675,3,1,208857,pop
138,2AtCkwddDCdJRTL7NSax7a,Chill,27,user,Olivia Wilkinson,,https://open.spotify.com/playlist/2AtCkwddDCdJRTL7NSax7a,0,Heavenly Creatures,5nCgeFC0siCnVrbTHx3iPL,https://p.scdn.co/mp3-preview/29a82c8e68872f6b243d71f65e78afa0db54244d?cid=0c571addac5347aa9932ddc72e415d79,2014-05-26,"['indie rock', 'modern alternative rock', 'modern rock']",27,0.767,0.276,-11.343,0.0315,0.555,0.316,0.111,0.386,97.04,4,0,197986,rock
