,playlistID,playlistName,nTracks,type,owner,description,url,nFoll,category,TrackName,TrackID,SampleURL,ReleaseYear,Genres,Popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mode,duration_ms,reducedGenre
0,37i9dQZF1DX4WYpdgoIcn6,Chill Hits,130,user,spotify,Kick back to the best new and recent chill hits.,https://open.spotify.com/user/spotify,8747754,chill,Till Forever Falls Apart,2769RhOZs0ezRncRW1vryp,https://p.scdn.co/mp3-preview/bdbd513079150bb58d67c82b3331999239c7ed0b?cid=0c571addac5347aa9932ddc72e415d79,2021-03-02,['alt z'],74,0.509,0.498,-6.94,0.0315,0.413,0.0,0.0674,0.283,99.729,2,1,222861,uncategorized
1,37i9dQZF1DX4WYpdgoIcn6,Chill Hits,130,user,spotify,Kick back to the best new and recent chill hits.,https://open.spotify.com/user/spotify,8747754,chill,In The Kitchen,2VFetGqLYq0Pc8ZtRYCaeL,https://p.scdn.co/mp3-preview/8a9ab3640c60aa8aa6a8d44ed7a583f98eb20556?cid=0c571addac5347aa9932ddc72e415d79,2022-11-11,['alt z'],69,0.364,0.294,-6.578,0.0504,0.833,0.0,0.264,0.125,79.477,0,0,227749,uncategorized
2,37i9dQZF1DX4WYpdgoIcn6,Chill Hits,130,user,spotify,Kick back to the best new and recent chill hits.,https://open.spotify.com/user/spotify,8747754,chill,Put A Little Love On Me,1hCTxutVVYvggAQcUUUZAT,https://p.scdn.co/mp3-preview/1e19f52a30f6cb7ef56b223c453be080762b09e7?cid=0c571addac5347aa9932ddc72e415d79,2019-12-06,['pop'],66,0.584,0.465,-4.88,0.0262,0.678,0.0,0.106,0.299,95.969,10,1,224586,pop
3,37i9dQZF1DX4WYpdgoIcn6,Chill Hits,130,user,spotify,Kick back to the best new and recent chill hits.,https://open.spotify.com/user/spotify,8747754,chill,If You Love Her,727Z2S2mtNH46CbP9EWPwY,https://p.scdn.co/mp3-preview/0239de53ffdecab14d03c756848c5b224f31773b?cid=0c571addac5347aa9932ddc72e415d79,2020-09-30,['singer-songwriter pop'],77,0.286,0.445,-8.087,0.0347,0.355,0.0,0.114,0.278,50.827,6,1,217352,pop
4,37i9dQZF1DX4WYpdgoIcn6,Chill Hits,130,user,spotify,Kick back to the best new and recent chill hits.,https://open.spotify.com/user/spotify,8747754,chill,Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault),4IQkfUsrwXol38VV3U7t7T,https://p.scdn.co/mp3-preview/6ea4fafd3a5a7f216cf97555c01c799ac8f7b3ec?cid=0c571addac5347aa9932ddc72e415d79,2021-11-12,['pop'],72,0.61,0.488,-6.918,0.0293,0.817,0.0,0.312,0.443,125.039,3,1,240227,pop
5,37i9dQZF1DX4WYpdgoIcn6,Chill Hits,130,user,spotify,Kick back to the best new and recent chill hits.,https://open.spotify.com/user/spotify,8747754,chill,What A Time (feat. Niall Horan),5WtfUKzXircvW8l5aaVZWT,https://p.scdn.co/mp3-preview/e93a5bdfa2c315a58f29d45b5beb6088eeca235b?cid=0c571addac5347aa9932ddc72e415d79,2019-01-24,['pop'],80,0.516,0.467,-6.184,0.0302,0.662,0.0,0.0853,0.386,132.861,0,1,173307,pop
6,37i9dQZF1DX4WYpdgoIcn6,Chill Hits,130,user,spotify,Kick back to the best new and recent chill hits.,https://open.spotify.com/user/spotify,8747754,chill,Falling,1ZMiCix7XSAbfAJlEZWMCp,https://p.scdn.co/mp3-preview/8d18a1a78e59131bf03cba65d124f803f5834ef6?cid=0c571addac5347aa9932ddc72e415d79,2019-12-13,['pop'],86,0.567,0.267,-6.502,0.0299,0.839,1.46e-06,0.089,0.0592,110.011,4,1,240133,pop
7,37i9dQZF1DX4WYpdgoIcn6,Chill Hits,130,user,spotify,Kick back to the best new and recent chill hits.,https://open.spotify.com/user/spotify,8747754,chill,birthday cake,7dDrR6vMK1JAwZZ5MIWgme,https://p.scdn.co/mp3-preview/82d39012783e996a1d2d3c3633434691c5dc0abc?cid=0c571addac5347aa9932ddc72e415d79,2022-02-02,"['alt z', 'singer-songwriter pop', 'social media pop']",74,0.436,0.255,-8.623,0.0364,0.955,3.28e-05,0.106,0.15,113.265,3,1,205280,pop
8,37i9dQZF1DX4WYpdgoIcn6,Chill Hits,130,user,spotify,Kick back to the best new and recent chill hits.,https://open.spotify.com/user/spotify,8747754,chill,Moral of the Story (feat. Niall Horan),2NWVdwbd2hPIzC2lyf4y63,https://p.scdn.co/mp3-preview/8b9ad5bc164cdeb375d0ce0f19b87d21f6d61c40?cid=0c571addac5347aa9932ddc72e415d79,2020-06-17,['alt z'],67,0.599,0.374,-8.896,0.0385,0.495,0.0,0.221,0.224,119.9,10,1,198515,uncategorized
9,37i9dQZF1DX4WYpdgoIcn6,Chill Hits,130,user,spotify,Kick back to the best new and recent chill hits.,https://open.spotify.com/user/spotify,8747754,chill,Before You,523f4oSjrZx83XDtRLnsIw,https://p.scdn.co/mp3-preview/970e8845866435e67005809af10240c5847fe9db?cid=0c571addac5347aa9932ddc72e415d79,2022-10-28,['singer-songwriter pop'],73,0.269,0.373,-7.113,0.0371,0.15,0.0,0.129,0.321,202.899,8,0,187941,pop
