,playlistID,playlistName,nTracks,type,owner,description,url,nFoll,category,TrackName,TrackID,SampleURL,ReleaseYear,Genres,Popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mode,duration_ms,reducedGenre
0,6IKQrtMc4c00YzONcUt7QH,Chill  Vibes 2023 🌙,218,user,electroposé,"Just chill &amp; relax... (Follow us on <a href=""https://www.instagram.com/electropose/"">Instagram @electropose</a>)",https://open.spotify.com/user/electropos%C3%A9,968114,chill,She Said (Big Jet Plane),3HeZam86SuxGp1wZ3XMIjE,https://p.scdn.co/mp3-preview/9f4bd2b06048e3d9f52bd26c6aac0d499589dab8?cid=0c571addac5347aa9932ddc72e415d79,2021-07-23,"['bass trap', 'new french touch']",75,0.808,0.538,-10.211,0.0608,0.108,0.0743,0.0555,0.416,108.026,0,0,173750,rap
1,6IKQrtMc4c00YzONcUt7QH,Chill  Vibes 2023 🌙,218,user,electroposé,"Just chill &amp; relax... (Follow us on <a href=""https://www.instagram.com/electropose/"">Instagram @electropose</a>)",https://open.spotify.com/user/electropos%C3%A9,968114,chill,I Do,4AfGJPK64DlMAy86TtTVUa,https://p.scdn.co/mp3-preview/c017d4042469e169dbcfb98ba68130ae9ffb5261?cid=0c571addac5347aa9932ddc72e415d79,2023-04-26,['new french touch'],68,0.788,0.566,-8.884,0.0486,0.346,0.803,0.164,0.343,120.008,1,1,145000,uncategorized
2,6IKQrtMc4c00YzONcUt7QH,Chill  Vibes 2023 🌙,218,user,electroposé,"Just chill &amp; relax... (Follow us on <a href=""https://www.instagram.com/electropose/"">Instagram @electropose</a>)",https://open.spotify.com/user/electropos%C3%A9,968114,chill,All The Stars,3YDjXk0eiQm2Qd8cr5ssBV,https://p.scdn.co/mp3-preview/9fa8d814764870234d7e28555ff82f29452e9179?cid=0c571addac5347aa9932ddc72e415d79,2023-05-17,['new french touch'],65,0.563,0.537,-8.127,0.145,0.764,0.000193,0.203,0.0907,115.986,6,1,158287,uncategorized
3,6IKQrtMc4c00YzONcUt7QH,Chill  Vibes 2023 🌙,218,user,electroposé,"Just chill &amp; relax... (Follow us on <a href=""https://www.instagram.com/electropose/"">Instagram @electropose</a>)",https://open.spotify.com/user/electropos%C3%A9,968114,chill,Here Comes The Sun,7L3AkxTIVosuV9q251kjfC,https://p.scdn.co/mp3-preview/0c366060b8e7228cb8401195203ff48f09b1e259?cid=0c571addac5347aa9932ddc72e415d79,2023-07-14,['new french touch'],64,0.744,0.691,-7.789,0.0366,0.285,0.000832,0.0617,0.458,124.029,9,1,145161,uncategorized
4,6IKQrtMc4c00YzONcUt7QH,Chill  Vibes 2023 🌙,218,user,electroposé,"Just chill &amp; relax... (Follow us on <a href=""https://www.instagram.com/electropose/"">Instagram @electropose</a>)",https://open.spotify.com/user/electropos%C3%A9,968114,chill,Sunny Day,3WNZCfPoouCRTbZR0pi0Vn,https://p.scdn.co/mp3-preview/4fee90bf7f22594b35b1c7cb6e4b25f2dbfdb746?cid=0c571addac5347aa9932ddc72e415d79,2022-10-07,['new french touch'],65,0.451,0.422,-8.477,0.0433,0.512,0.162,0.139,0.119,119.998,3,0,192000,uncategorized
5,6IKQrtMc4c00YzONcUt7QH,Chill  Vibes 2023 🌙,218,user,electroposé,"Just chill &amp; relax... (Follow us on <a href=""https://www.instagram.com/electropose/"">Instagram @electropose</a>)",https://open.spotify.com/user/electropos%C3%A9,968114,chill,No Place I Call Home,4RuuiH16GHOe0xZNft5km9,https://p.scdn.co/mp3-preview/913816fc946d70e60a2ecc68e2dcd3f1ce8e309c?cid=0c571addac5347aa9932ddc72e415d79,2023-02-23,['deep tropical house'],66,0.637,0.741,-6.193,0.0367,0.0147,0.000158,0.132,0.496,127.932,2,1,180938,house
6,6IKQrtMc4c00YzONcUt7QH,Chill  Vibes 2023 🌙,218,user,electroposé,"Just chill &amp; relax... (Follow us on <a href=""https://www.instagram.com/electropose/"">Instagram @electropose</a>)",https://open.spotify.com/user/electropos%C3%A9,968114,chill,Shine,5LI5DHVYrtMKJQaedaUhTS,https://p.scdn.co/mp3-preview/993ad5871b9b25fd0fa97821b2f413f7bea226b4?cid=0c571addac5347aa9932ddc72e415d79,2022-09-16,['new french touch'],68,0.683,0.758,-7.29,0.163,0.284,0.0,0.312,0.686,95.956,7,1,171871,uncategorized
7,6IKQrtMc4c00YzONcUt7QH,Chill  Vibes 2023 🌙,218,user,electroposé,"Just chill &amp; relax... (Follow us on <a href=""https://www.instagram.com/electropose/"">Instagram @electropose</a>)",https://open.spotify.com/user/electropos%C3%A9,968114,chill,Alone,4p1NHiFP4PfV7eW1183Ej9,https://p.scdn.co/mp3-preview/e835fd6ec688444f60f293e0c1d0fde50b74f6f9?cid=0c571addac5347aa9932ddc72e415d79,2015-05-18,['new french touch'],65,0.772,0.745,-10.194,0.0405,0.595,0.87,0.117,0.166,116.014,11,1,273162,uncategorized
8,6IKQrtMc4c00YzONcUt7QH,Chill  Vibes 2023 🌙,218,user,electroposé,"Just chill &amp; relax... (Follow us on <a href=""https://www.instagram.com/electropose/"">Instagram @electropose</a>)",https://open.spotify.com/user/electropos%C3%A9,968114,chill,Chemicals,1nWydPjxaHwae1T4DMhOMf,https://p.scdn.co/mp3-preview/ff423a79e3c51b1fba9e65d3a9033893bca5bdda?cid=0c571addac5347aa9932ddc72e415d79,2023-01-25,['new french touch'],65,0.742,0.461,-12.369,0.292,0.303,0.0173,0.112,0.118,120.034,0,1,156005,uncategorized
9,6IKQrtMc4c00YzONcUt7QH,Chill  Vibes 2023 🌙,218,user,electroposé,"Just chill &amp; relax... (Follow us on <a href=""https://www.instagram.com/electropose/"">Instagram @electropose</a>)",https://open.spotify.com/user/electropos%C3%A9,968114,chill,To Stay,2LnlsuPFsJI2ZhSR0UadVB,https://p.scdn.co/mp3-preview/a78157f4dcab35093f5232b77c064744cbc08f94?cid=0c571addac5347aa9932ddc72e415d79,2022-12-09,['new french touch'],71,0.702,0.669,-8.011,0.0392,0.0148,0.697,0.44,0.353,134.973,1,0,174000,uncategorized
