,playlistID,playlistName,nTracks,type,owner,description,url,nFoll,category,TrackName,TrackID,SampleURL,ReleaseYear,Genres,Popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mode,duration_ms,reducedGenre
0,37i9dQZF1DXb57FjYWz00c,80s Hits,100,user,spotify,Nothing but unforgettable songs from the 80s.,https://open.spotify.com/user/spotify,3126891,eighties,Africa,2374M0fQpWi3dLnB54qaLX,https://p.scdn.co/mp3-preview/86d951a680c33cca769822e0ef854c1b20301b32?cid=0c571addac5347aa9932ddc72e415d79,1982-04-08,"['album rock', 'classic rock', 'hard rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",87,0.671,0.373,-18.064,0.0323,0.257,8.01e-05,0.0481,0.732,92.718,9,1,295893,rock
1,37i9dQZF1DXb57FjYWz00c,80s Hits,100,user,spotify,Nothing but unforgettable songs from the 80s.,https://open.spotify.com/user/spotify,3126891,eighties,Take on Me,2WfaOiMkCvy7F5fcp2zZ8L,https://p.scdn.co/mp3-preview/ed66a8c444c35b2f5029c04ae8e18f69d952c2bb?cid=0c571addac5347aa9932ddc72e415d79,1985-06-01,"['new romantic', 'new wave', 'new wave pop', 'permanent wave', 'synthpop']",89,0.573,0.902,-7.638,0.054,0.018,0.00125,0.0928,0.876,84.412,6,0,225280,pop
2,37i9dQZF1DXb57FjYWz00c,80s Hits,100,user,spotify,Nothing but unforgettable songs from the 80s.,https://open.spotify.com/user/spotify,3126891,eighties,Sweet Dreams (Are Made of This) - Remastered,1TfqLAPs4K3s2rJMoCokcS,https://p.scdn.co/mp3-preview/d69101dbd66295473706112d3edf978b70fc4550?cid=0c571addac5347aa9932ddc72e415d79,1983-01-04,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'sophisti-pop', 'synthpop']",85,0.692,0.711,-7.498,0.0317,0.225,0.0,0.12,0.875,125.135,0,0,216933,pop
3,37i9dQZF1DXb57FjYWz00c,80s Hits,100,user,spotify,Nothing but unforgettable songs from the 80s.,https://open.spotify.com/user/spotify,3126891,eighties,Everybody Wants To Rule The World,4RvWPyQ5RL0ao9LPZeSouE,https://p.scdn.co/mp3-preview/49a5e33d422484fde5484d3e665821e9a3a8b540?cid=0c571addac5347aa9932ddc72e415d79,1985-02-25,"['new romantic', 'new wave', 'new wave pop', 'permanent wave', 'rock', 'sophisti-pop', 'synthpop']",91,0.645,0.795,-12.095,0.0527,0.347,0.00389,0.104,0.535,112.067,7,1,251489,pop
4,37i9dQZF1DXb57FjYWz00c,80s Hits,100,user,spotify,Nothing but unforgettable songs from the 80s.,https://open.spotify.com/user/spotify,3126891,eighties,I Wanna Dance with Somebody (Who Loves Me),2tUBqZG2AbRi7Q0BIrVrEj,https://p.scdn.co/mp3-preview/7414ae6c811dee16c467c256429c7427fbcc98d0?cid=0c571addac5347aa9932ddc72e415d79,1987-06-02,['dance pop'],85,0.709,0.824,-8.824,0.0453,0.207,0.000307,0.0888,0.867,118.818,1,1,291293,pop
5,37i9dQZF1DXb57FjYWz00c,80s Hits,100,user,spotify,Nothing but unforgettable songs from the 80s.,https://open.spotify.com/user/spotify,3126891,eighties,"Footloose - From ""Footloose"" Soundtrack",4YR6Dextuoc3I8nJ0XgzKI,https://p.scdn.co/mp3-preview/b528efd2e7acc45b765450e28f65a0f665140b2d?cid=0c571addac5347aa9932ddc72e415d79,2002,"['album rock', 'classic rock', 'heartland rock', 'mellow gold', 'new wave pop', 'singer-songwriter', 'soft rock', 'yacht rock']",70,0.564,0.911,-5.39,0.0536,0.159,4.36e-05,0.118,0.582,173.938,2,1,226293,rock
6,37i9dQZF1DXb57FjYWz00c,80s Hits,100,user,spotify,Nothing but unforgettable songs from the 80s.,https://open.spotify.com/user/spotify,3126891,eighties,I'm Still Standing,1jDJFeK9x3OZboIAHsY9k2,https://p.scdn.co/mp3-preview/9efd1f7054be7510e992ceb27d68f2af05763c46?cid=0c571addac5347aa9932ddc72e415d79,1983-05-30,"['glam rock', 'mellow gold', 'piano rock', 'rock']",87,0.504,0.904,-6.863,0.179,0.356,0.121,0.14,0.772,176.808,6,1,183440,rock
7,37i9dQZF1DXb57FjYWz00c,80s Hits,100,user,spotify,Nothing but unforgettable songs from the 80s.,https://open.spotify.com/user/spotify,3126891,eighties,Girls Just Want to Have Fun,2zjt2hHBbiv5SuxYg8Z7eP,https://p.scdn.co/mp3-preview/9fa8cc6509be03f9bba0c57db7f1def451de6b43?cid=0c571addac5347aa9932ddc72e415d79,2014-03-28,"['dance pop', 'new wave pop', 'permanent wave', 'soft rock']",70,0.707,0.788,-5.269,0.0333,0.214,0.000571,0.308,0.746,120.465,6,1,238120,pop
8,37i9dQZF1DXb57FjYWz00c,80s Hits,100,user,spotify,Nothing but unforgettable songs from the 80s.,https://open.spotify.com/user/spotify,3126891,eighties,Tainted Love,0cGG2EouYCEEC3xfa0tDFV,https://p.scdn.co/mp3-preview/03f13a169368253ffeb3a9ff37f69659e5c7d728?cid=0c571addac5347aa9932ddc72e415d79,1981,"['new romantic', 'new wave', 'new wave pop', 'synthpop']",83,0.5,0.501,-8.284,0.0376,0.462,0.0,0.26,0.623,144.438,0,0,153800,pop
9,37i9dQZF1DXb57FjYWz00c,80s Hits,100,user,spotify,Nothing but unforgettable songs from the 80s.,https://open.spotify.com/user/spotify,3126891,eighties,Dancing On The Ceiling,298CFqWcJGOnOnVgubW8Al,https://p.scdn.co/mp3-preview/dbd57b7b10488698f720aebaf89b0a7f055ba248?cid=0c571addac5347aa9932ddc72e415d79,1992-01-01,['soft rock'],62,0.708,0.686,-11.09,0.0337,0.113,3.39e-05,0.0505,0.778,133.382,0,1,262027,rock
10,37i9dQZF1DXb57FjYWz00c,80s Hits,100,user,spotify,Nothing but unforgettable songs from the 80s.,https://open.spotify.com/user/spotify,3126891,eighties,You Make My Dreams (Come True),4o6BgsqLIBViaGVbx5rbRk,https://p.scdn.co/mp3-preview/5f096f9722067db33f1453ea8804725ca15ac5bf?cid=0c571addac5347aa9932ddc72e415d79,1980,"['album rock', 'classic rock', 'heartland rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock', 'yacht rock']",83,0.751,0.501,-12.151,0.0551,0.234,0.112,0.0467,0.902,167.057,5,1,190627,rock
