,playlistID,playlistName,nTracks,type,owner,description,url,nFoll,category,TrackName,TrackID,SampleURL,ReleaseYear,Genres,Popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mode,duration_ms,reducedGenre
0,70N5mgNl3QBQB09zXoa72h,80s Hits - Best of the 80s,82,user,j0taw2pz8rbx7296x8o26ae8b,from New wave to pop to synth pop to rock,https://open.spotify.com/user/j0taw2pz8rbx7296x8o26ae8b,492809,eighties,Take on Me,2WfaOiMkCvy7F5fcp2zZ8L,https://p.scdn.co/mp3-preview/ed66a8c444c35b2f5029c04ae8e18f69d952c2bb?cid=0c571addac5347aa9932ddc72e415d79,1985-06-01,"['new romantic', 'new wave', 'new wave pop', 'permanent wave', 'synthpop']",89,0.573,0.902,-7.638,0.054,0.018,0.00125,0.0928,0.876,84.412,6,0,225280,pop
1,70N5mgNl3QBQB09zXoa72h,80s Hits - Best of the 80s,82,user,j0taw2pz8rbx7296x8o26ae8b,from New wave to pop to synth pop to rock,https://open.spotify.com/user/j0taw2pz8rbx7296x8o26ae8b,492809,eighties,Africa,2374M0fQpWi3dLnB54qaLX,https://p.scdn.co/mp3-preview/86d951a680c33cca769822e0ef854c1b20301b32?cid=0c571addac5347aa9932ddc72e415d79,1982-04-08,"['album rock', 'classic rock', 'hard rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",87,0.671,0.373,-18.064,0.0323,0.257,8.01e-05,0.0481,0.732,92.718,9,1,295893,rock
2,70N5mgNl3QBQB09zXoa72h,80s Hits - Best of the 80s,82,user,j0taw2pz8rbx7296x8o26ae8b,from New wave to pop to synth pop to rock,https://open.spotify.com/user/j0taw2pz8rbx7296x8o26ae8b,492809,eighties,Every Breath You Take,1JSTJqkT5qHq8MDJnJbRE1,https://p.scdn.co/mp3-preview/92d7997134bb18b99eb5fdc65926e4ef613f9781?cid=0c571addac5347aa9932ddc72e415d79,1983-06-17,"['album rock', 'classic rock', 'permanent wave', 'rock']",89,0.82,0.452,-9.796,0.0348,0.543,0.00294,0.0714,0.74,117.401,1,1,253920,rock
3,70N5mgNl3QBQB09zXoa72h,80s Hits - Best of the 80s,82,user,j0taw2pz8rbx7296x8o26ae8b,from New wave to pop to synth pop to rock,https://open.spotify.com/user/j0taw2pz8rbx7296x8o26ae8b,492809,eighties,Girls Just Want to Have Fun,4y1LsJpmMti1PfRQV9AWWe,https://p.scdn.co/mp3-preview/d8dc4f720786902e4b84fe1130c35bb74398edfa?cid=0c571addac5347aa9932ddc72e415d79,1983-10-14,"['dance pop', 'new wave pop', 'permanent wave', 'soft rock']",84,0.71,0.799,-4.897,0.0328,0.22,0.000602,0.349,0.725,120.372,6,1,238267,pop
4,70N5mgNl3QBQB09zXoa72h,80s Hits - Best of the 80s,82,user,j0taw2pz8rbx7296x8o26ae8b,from New wave to pop to synth pop to rock,https://open.spotify.com/user/j0taw2pz8rbx7296x8o26ae8b,492809,eighties,Dancing Queen,0GjEhVFGZW8afUYGChu3Rr,https://p.scdn.co/mp3-preview/1116076e3d1538852d6605ada1fd7130c8fc75a5?cid=0c571addac5347aa9932ddc72e415d79,1976,"['europop', 'swedish pop']",87,0.543,0.87,-6.514,0.0428,0.358,0.000939,0.792,0.754,100.804,9,1,230400,pop
5,70N5mgNl3QBQB09zXoa72h,80s Hits - Best of the 80s,82,user,j0taw2pz8rbx7296x8o26ae8b,from New wave to pop to synth pop to rock,https://open.spotify.com/user/j0taw2pz8rbx7296x8o26ae8b,492809,eighties,Billie Jean,5ChkMS8OtdzJeqyybCc9R5,https://p.scdn.co/mp3-preview/0f6b8a3524ec410020457da4cdd7717f9addce2f?cid=0c571addac5347aa9932ddc72e415d79,2008-02-08,"['r&b', 'soul']",84,0.92,0.654,-3.051,0.0401,0.0236,0.0153,0.036,0.847,117.046,11,0,293827,r&b
6,70N5mgNl3QBQB09zXoa72h,80s Hits - Best of the 80s,82,user,j0taw2pz8rbx7296x8o26ae8b,from New wave to pop to synth pop to rock,https://open.spotify.com/user/j0taw2pz8rbx7296x8o26ae8b,492809,eighties,Karma Chameleon - Remastered 2002,2wSAWEYUHkt92X4SBAPqZE,https://p.scdn.co/mp3-preview/644d79e248722e1ff28b5d89244ae9f4873fe810?cid=0c571addac5347aa9932ddc72e415d79,1983-10-01,"['new romantic', 'new wave', 'new wave pop', 'soft rock', 'synthpop']",79,0.668,0.73,-7.182,0.0366,0.225,0.0,0.188,0.894,92.049,10,1,252773,pop
7,70N5mgNl3QBQB09zXoa72h,80s Hits - Best of the 80s,82,user,j0taw2pz8rbx7296x8o26ae8b,from New wave to pop to synth pop to rock,https://open.spotify.com/user/j0taw2pz8rbx7296x8o26ae8b,492809,eighties,Sweet Dreams (Are Made of This) - Remastered,1TfqLAPs4K3s2rJMoCokcS,https://p.scdn.co/mp3-preview/d69101dbd66295473706112d3edf978b70fc4550?cid=0c571addac5347aa9932ddc72e415d79,1983-01-04,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'sophisti-pop', 'synthpop']",85,0.692,0.711,-7.498,0.0317,0.225,0.0,0.12,0.875,125.135,0,0,216933,pop
8,70N5mgNl3QBQB09zXoa72h,80s Hits - Best of the 80s,82,user,j0taw2pz8rbx7296x8o26ae8b,from New wave to pop to synth pop to rock,https://open.spotify.com/user/j0taw2pz8rbx7296x8o26ae8b,492809,eighties,Wake Me Up Before You Go-Go,0ikz6tENMONtK6qGkOrU3c,https://p.scdn.co/mp3-preview/48ce25ff385552880371a3c460f0b90ecbcfceea?cid=0c571addac5347aa9932ddc72e415d79,1984-10-23,"['new romantic', 'new wave', 'new wave pop', 'soft rock']",83,0.62,0.573,-11.893,0.0423,0.271,0.0,0.0607,0.897,81.548,0,1,231333,pop
9,70N5mgNl3QBQB09zXoa72h,80s Hits - Best of the 80s,82,user,j0taw2pz8rbx7296x8o26ae8b,from New wave to pop to synth pop to rock,https://open.spotify.com/user/j0taw2pz8rbx7296x8o26ae8b,492809,eighties,Two Words,3FaKhUKpfnkbHRLivA8bPj,https://p.scdn.co/mp3-preview/223b4f4de63870648c42a41883f543ea2cb4f5c9?cid=0c571addac5347aa9932ddc72e415d79,2017-05-23,['edmonton indie'],65,0.76,0.504,-6.752,0.0402,0.0371,0.00227,0.103,0.642,109.994,10,1,220600,indie
