,playlistID,playlistName,nTracks,type,owner,description,url,nFoll,category,TrackName,TrackID,SampleURL,ReleaseYear,Genres,Popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mode,duration_ms,reducedGenre
0,3C64V048fGyQfCjmu9TIGA,90s HITS | TOP 100 SONGS,130,user,myplay.com,"The best of the 1990s classics, from TLC, Backstreet Boys, Destiny's Child, *NSYNC, Mariah Carey, Christina Aguilera, Britney Spears, Jennifer Lopez + more.",https://open.spotify.com/user/myplay.com,2124941,nineties,No Scrubs,1KGi9sZVMeszgZOWivFpxs,https://p.scdn.co/mp3-preview/87c4c3435b531616e2d642009a18eb711f87be4e?cid=0c571addac5347aa9932ddc72e415d79,1999-02-23,"['atl hip hop', 'contemporary r&b', 'dance pop', 'girl group', 'hip pop', 'r&b', 'urban contemporary']",84,0.743,0.675,-4.267,0.0953,0.0251,0.000717,0.0685,0.59,92.909,8,0,214400,pop
1,3C64V048fGyQfCjmu9TIGA,90s HITS | TOP 100 SONGS,130,user,myplay.com,"The best of the 1990s classics, from TLC, Backstreet Boys, Destiny's Child, *NSYNC, Mariah Carey, Christina Aguilera, Britney Spears, Jennifer Lopez + more.",https://open.spotify.com/user/myplay.com,2124941,nineties,I Want It That Way,47BBI51FKFwOMlIiX6m8ya,https://p.scdn.co/mp3-preview/4eec31d974fd622ac7858affd9759f2017dd87e4?cid=0c571addac5347aa9932ddc72e415d79,1999-05-18,"['boy band', 'dance pop', 'pop']",84,0.689,0.694,-5.83,0.027,0.257,0.0,0.148,0.482,99.039,6,0,213307,pop
2,3C64V048fGyQfCjmu9TIGA,90s HITS | TOP 100 SONGS,130,user,myplay.com,"The best of the 1990s classics, from TLC, Backstreet Boys, Destiny's Child, *NSYNC, Mariah Carey, Christina Aguilera, Britney Spears, Jennifer Lopez + more.",https://open.spotify.com/user/myplay.com,2124941,nineties,Say My Name,7H6ev70Weq6DdpZyyTmUXk,https://p.scdn.co/mp3-preview/bca92030911d3ac5208813cb47fdc40f30537ab9?cid=0c571addac5347aa9932ddc72e415d79,1999-07-27,"['dance pop', 'girl group', 'pop', 'r&b', 'urban contemporary']",80,0.713,0.678,-3.525,0.102,0.273,0.0,0.149,0.734,138.009,5,0,271333,pop
3,3C64V048fGyQfCjmu9TIGA,90s HITS | TOP 100 SONGS,130,user,myplay.com,"The best of the 1990s classics, from TLC, Backstreet Boys, Destiny's Child, *NSYNC, Mariah Carey, Christina Aguilera, Britney Spears, Jennifer Lopez + more.",https://open.spotify.com/user/myplay.com,2124941,nineties,Fantasy,6xkryXuiZU360Lngd4sx13,https://p.scdn.co/mp3-preview/1c23e1ae9b28c452b4d6f2ed4eea9f532dc13f0f?cid=0c571addac5347aa9932ddc72e415d79,1995-10-03,"['dance pop', 'pop', 'urban contemporary']",80,0.669,0.727,-7.588,0.0353,0.139,0.0,0.123,0.807,102.322,7,1,243493,pop
4,3C64V048fGyQfCjmu9TIGA,90s HITS | TOP 100 SONGS,130,user,myplay.com,"The best of the 1990s classics, from TLC, Backstreet Boys, Destiny's Child, *NSYNC, Mariah Carey, Christina Aguilera, Britney Spears, Jennifer Lopez + more.",https://open.spotify.com/user/myplay.com,2124941,nineties,Wannabe,1Je1IMUlBXcx1Fz0WE7oPT,https://p.scdn.co/mp3-preview/774ab81029159a5ebb4ff45a1ec8dc7adc4b2da8?cid=0c571addac5347aa9932ddc72e415d79,1996-01-01,"['dance pop', 'girl group', 'pop']",84,0.768,0.864,-6.145,0.0324,0.101,0.0,0.162,0.891,110.008,11,1,173027,pop
5,3C64V048fGyQfCjmu9TIGA,90s HITS | TOP 100 SONGS,130,user,myplay.com,"The best of the 1990s classics, from TLC, Backstreet Boys, Destiny's Child, *NSYNC, Mariah Carey, Christina Aguilera, Britney Spears, Jennifer Lopez + more.",https://open.spotify.com/user/myplay.com,2124941,nineties,Bye Bye Bye,62bOmKYxYg7dhrC6gH9vFn,https://p.scdn.co/mp3-preview/be65bd81597e7c9689726b170a9b459e0b8a18ae?cid=0c571addac5347aa9932ddc72e415d79,2000-03-21,"['boy band', 'dance pop', 'pop']",75,0.61,0.926,-4.843,0.0479,0.031,0.0012,0.0821,0.861,172.638,8,0,200400,pop
6,3C64V048fGyQfCjmu9TIGA,90s HITS | TOP 100 SONGS,130,user,myplay.com,"The best of the 1990s classics, from TLC, Backstreet Boys, Destiny's Child, *NSYNC, Mariah Carey, Christina Aguilera, Britney Spears, Jennifer Lopez + more.",https://open.spotify.com/user/myplay.com,2124941,nineties,Smooth Operator - Single Version,1Hv1VTm8zeOeybub15mA2R,https://p.scdn.co/mp3-preview/43f389ca63d0814eb6e316b42f13011d802373ff?cid=0c571addac5347aa9932ddc72e415d79,1994-10-31,"['british soul', 'sophisti-pop']",85,0.734,0.58,-6.619,0.0321,0.238,0.0006,0.0298,0.962,119.336,9,0,258693,pop
7,3C64V048fGyQfCjmu9TIGA,90s HITS | TOP 100 SONGS,130,user,myplay.com,"The best of the 1990s classics, from TLC, Backstreet Boys, Destiny's Child, *NSYNC, Mariah Carey, Christina Aguilera, Britney Spears, Jennifer Lopez + more.",https://open.spotify.com/user/myplay.com,2124941,nineties,Come on over Baby (All I Want Is You) - Radio Version,7A0apkTSTvMbSI7yplcmlh,https://p.scdn.co/mp3-preview/15909fde9cbd4ed0b24c188a421055fe1b6baf27?cid=0c571addac5347aa9932ddc72e415d79,1999,"['dance pop', 'pop']",68,0.829,0.915,-3.205,0.106,0.226,1.25e-05,0.246,0.779,118.903,8,1,203333,pop
8,3C64V048fGyQfCjmu9TIGA,90s HITS | TOP 100 SONGS,130,user,myplay.com,"The best of the 1990s classics, from TLC, Backstreet Boys, Destiny's Child, *NSYNC, Mariah Carey, Christina Aguilera, Britney Spears, Jennifer Lopez + more.",https://open.spotify.com/user/myplay.com,2124941,nineties,Maria Maria (feat. The Product G&B),3XKIUb7HzIF1Vu9usunMzc,https://p.scdn.co/mp3-preview/aeca3af8544ab78fef1485a06e5542b65ce00d66?cid=0c571addac5347aa9932ddc72e415d79,1999-06-15,"['blues rock', 'classic rock', 'mexican classic rock']",84,0.777,0.601,-5.931,0.126,0.0406,0.00201,0.0348,0.68,97.911,2,1,261973,rock
9,3C64V048fGyQfCjmu9TIGA,90s HITS | TOP 100 SONGS,130,user,myplay.com,"The best of the 1990s classics, from TLC, Backstreet Boys, Destiny's Child, *NSYNC, Mariah Carey, Christina Aguilera, Britney Spears, Jennifer Lopez + more.",https://open.spotify.com/user/myplay.com,2124941,nineties,Still D.R.E.,503OTo2dSqe7qk76rgsbep,https://p.scdn.co/mp3-preview/7a1ea34238e6d08c87fc17a5c7e30321d79a7aaa?cid=0c571addac5347aa9932ddc72e415d79,1999-11-16,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",86,0.816,0.775,-3.323,0.234,0.16,0.00031,0.0543,0.527,93.431,11,1,270587,rap
10,3C64V048fGyQfCjmu9TIGA,90s HITS | TOP 100 SONGS,130,user,myplay.com,"The best of the 1990s classics, from TLC, Backstreet Boys, Destiny's Child, *NSYNC, Mariah Carey, Christina Aguilera, Britney Spears, Jennifer Lopez + more.",https://open.spotify.com/user/myplay.com,2124941,nineties,Amber,51UtgWS4z1eMPuLQOzPtNH,https://p.scdn.co/mp3-preview/2b8a07b9c8d3db0d93cfcebce722d75324cadd32?cid=0c571addac5347aa9932ddc72e415d79,2004-06-08,"['alternative metal', 'alternative rock', 'funk metal', 'funk rock', 'grunge', 'nu metal', 'pop rock', 'rap rock', 'reggae fusion']",71,0.659,0.727,-8.638,0.0455,0.119,0.00427,0.1,0.748,166.163,4,0,211080,rock
11,3C64V048fGyQfCjmu9TIGA,90s HITS | TOP 100 SONGS,130,user,myplay.com,"The best of the 1990s classics, from TLC, Backstreet Boys, Destiny's Child, *NSYNC, Mariah Carey, Christina Aguilera, Britney Spears, Jennifer Lopez + more.",https://open.spotify.com/user/myplay.com,2124941,nineties,Blind,1pr9TZGOXeJUggIal1Wq3R,https://p.scdn.co/mp3-preview/7c2868a7b00e17f310b3366160f900749490d468?cid=0c571addac5347aa9932ddc72e415d79,1994-10-11,"['alternative metal', 'funk metal', 'hard rock', 'nu metal', 'post-grunge', 'rap metal', 'rock']",73,0.283,0.891,-8.165,0.178,0.00678,0.0038,0.159,0.226,92.049,2,1,258267,metal
12,3C64V048fGyQfCjmu9TIGA,90s HITS | TOP 100 SONGS,130,user,myplay.com,"The best of the 1990s classics, from TLC, Backstreet Boys, Destiny's Child, *NSYNC, Mariah Carey, Christina Aguilera, Britney Spears, Jennifer Lopez + more.",https://open.spotify.com/user/myplay.com,2124941,nineties,Gettin' Jiggy Wit It,0weAUscowxeqDtpCgtbpgp,https://p.scdn.co/mp3-preview/c16a2bdebb583a5af11ab642f7411b87e8f7f396?cid=0c571addac5347aa9932ddc72e415d79,1997-10-03,"['hip hop', 'pop rap']",76,0.881,0.874,-4.505,0.139,0.0175,1.14e-06,0.154,0.858,107.891,6,1,227933,pop
