track_id,duration,release_year,us_popularity_estimate,acousticness,beat_strength,bounciness,danceability,dyn_range_mean,energy,flatness,instrumentalness,key,liveness,loudness,mechanism,mode,organism,speechiness,tempo,time_signature,valence,acoustic_vector_0,acoustic_vector_1,acoustic_vector_2,acoustic_vector_3,acoustic_vector_4,acoustic_vector_5,acoustic_vector_6,acoustic_vector_7
t_2e8f4b71-8a0b-4b9c-b7d8-fb5208e87f9f,326.0133362,1971,99.58288471,0.716209292,0.366495311,0.332604557,0.439834684,5.805773735,0.238846868,1.010700345,0.653386056,0,0.769257665,-17.09399986,0.199170128,major,0.759698689,0.033940237,100.3700027,4,0.223395407,0.1460118,-0.70690769,0.259495705,0.481156945,0.238426954,-0.098389328,-0.254959673,-0.227383107
t_dae2ec0e-ec7b-4b3e-b60c-4a884d0eccb0,147.813324,1963,97.27203481,0.839459836,0.36221227,0.389829218,0.5075804,6.845427036,0.420475781,1.000398159,3.94E-09,0,0.08584398,-11.29500008,0.357638896,major,0.747435808,0.049855698,141.3339996,4,0.484702259,0.03955387,-0.539554417,0.105141349,0.692588806,0.226047114,-0.468161523,0.164388672,-0.769024372
t_cf0164dd-1531-4399-bfa6-dec19cd1fedc,110.4000015,1974,99.62038391,0.054672766,0.495001942,0.589378417,0.552311242,9.361948967,0.842938125,0.957765877,0.104159497,0,0.407324523,-9.31000042,0.304721028,major,0.493154109,0.071753494,138.8899994,4,0.818440914,0.083862625,-0.242108166,-0.014257754,0.09639594,0.417641431,-0.050576326,-0.204756901,-0.172562793
t_0f90acc7-d5c5-4e53-901d-55610fbd090c,237.6533356,1988,96.79682994,0.042606264,0.389633954,0.359044164,0.585672915,6.068578243,0.665398479,0.94732213,1.44E-05,0,0.25150162,-12.1590004,0.702947855,major,0.21219717,0.029424638,133.1390076,4,0.594828963,0.192498222,0.340038627,0.034846,-0.389794052,0.518381178,0.185008183,-0.079906687,-0.016978472
t_36b9ad02-095a-443d-a697-6c7285d9410a,174.6000061,1987,97.90589114,0.24998191,0.513640463,0.485434651,0.635094821,7.198735237,0.408715218,1.014062524,0.526688039,0,0.218369529,-13.81299973,0.888888896,major,0.193438157,0.032178104,152.2120056,4,0.591289341,0.270585775,-0.41106075,0.16589798,0.225652158,0.335517645,-0.036642522,-0.016299639,-0.44686991
t_cbf7084a-0ab7-40b2-8e47-a010580e8d15,164.8266754,1956,92.59242878,0.734341919,0.165064201,0.14048849,0.199768826,4.153818607,0.379918754,1.019911408,3.88E-08,0,0.339328766,-10.71800041,0.120171674,major,0.810356677,0.035060324,135.9170074,5,0.234548137,-0.014371914,-0.615437329,0.057682239,0.760237634,0.4088431,-0.517801702,0.047055669,-0.813203394
t_2ee16606-ba70-419f-a437-7c6ee2b8ec26,262.706665,1963,99.18308838,0.798029661,0.414411455,0.440939158,0.383561075,7.293005943,0.422262251,0.999168098,3.67E-05,0,0.344440401,-10.10400009,0.135838151,major,0.831753314,0.061833162,88.43199921,4,0.504852772,-0.119445913,-0.467880785,-0.023683231,0.660234272,0.278731495,-0.580379784,-0.020039033,-0.807893336
t_3e80fb67-dc0b-4a97-aff8-88d82f452f9d,244.6666718,1988,97.83052603,0.5136711,0.658133566,0.653403938,0.734944642,9.109442711,0.701643646,0.939407468,0.000320029,0,0.056107167,-12.92599964,0.953545213,major,0.364702672,0.043706357,114.9489975,4,0.948951721,-0.195306659,0.086100519,0.384593725,0.010279616,-0.026872164,0.074480005,-0.021595521,-0.164101139
t_f9b9a072-8dae-4816-bfd6-d91fc75a5744,180.1333313,1989,97.72073371,0.002047114,0.425468594,0.486543477,0.654539704,7.990334034,0.625231326,0.957157969,0.003155269,0,0.261363119,-10.18599987,0.473837197,major,0.372056097,0.052713048,130.1109924,4,0.691534102,0.188887879,0.306256443,-0.325101584,-0.532620251,0.66040504,0.149624452,-0.354730844,0.192536876
t_d076e5fa-174c-4614-a1b8-371bd0ea3343,141.2266693,1966,90.32003506,0.988566935,0.388164967,0.380071819,0.497119576,6.464887142,0.200861916,1.037593603,0.927132785,0,0.106373705,-16.65399933,0.273743004,major,0.867385089,0.027667068,92.14399719,4,0.55740273,0.502805412,-0.984360874,0.129971877,0.612153232,0.001386442,-0.213893279,-0.147192717,-0.012855225
t_a0e0efdc-de3e-4768-ac6b-b25154404933,256.293335,1972,95.18331078,0.437546253,0.264699578,0.262307435,0.347222388,5.506066799,0.331275314,1.025988698,0.243433535,0,0.412377149,-11.97200012,0.212471128,major,0.637043357,0.032389075,117.8410034,4,0.304307848,-0.006149031,-0.538585067,0.192734301,0.432841063,0.478157312,-0.154300764,-0.249072894,-0.542545319
t_a0733a9f-04bc-4aa9-9ba8-d9e00510e234,295.7999878,1988,98.78843079,0.6659289,0.346163601,0.388975263,0.33569026,6.950101376,0.482527554,0.973309159,1.16E-06,0,0.355257869,-11.96700001,0.098837212,major,0.792324305,0.076914862,78.73300171,4,0.388150185,0.191288516,-0.349099249,-0.216688082,0.3510198,-0.083724171,-0.439770907,0.115719497,-0.460995942
t_719ffd98-6175-4e67-83d3-b38fafbbcf88,155.5333252,1955,93.73855331,0.990092397,0.351234943,0.414343208,0.412577868,7.320832253,0.100603871,1.034585357,0.944957256,0,0.105003387,-22.3920002,0.155555561,major,0.92015475,0.033370912,98.81199646,4,0.137113571,0.403026283,-1.101401806,0.02351192,0.788118839,0.135155156,-0.373133481,-0.2215783,-0.113891602
t_7a0d288e-adb2-430a-984b-45c6f64c07e4,212.9600067,1984,94.12761859,0.013420913,0.519923866,0.493766248,0.637028515,7.294668674,0.667520046,1.003982306,0.00022897,0,0.149869218,-13.37199974,0.871194363,major,0.091572396,0.032114588,139.220993,4,0.617093205,0.063917123,0.03371872,-0.165977821,-0.108493567,0.513017118,0.020660894,0.068038225,-0.094161175
t_7f435320-5d3b-497d-9346-0c97429af2b9,539.7600098,1980,98.38315795,0.075846396,0.499847531,0.494942725,0.46121484,7.512060642,0.563251913,0.916317165,0.373622358,0,0.693975091,-16.39699936,0.187613845,major,0.576941907,0.065943472,136.0700073,4,0.468439907,0.18035917,-0.149973735,-0.185145214,-0.152790561,0.560996056,0.047160529,-0.295635164,-0.07490214
t_0ab42656-47e0-46a5-9377-0f44c1c43cad,150.706665,1975,96.49121506,0.563641965,0.640452862,0.594272673,0.557243764,8.023470879,0.446217597,1.007328749,0.014001028,0,0.097922303,-13.90200043,0.208092481,major,0.687317193,0.02526819,83.00299835,4,0.678567469,0.065790363,-0.213053256,0.164086103,0.002893906,0.465850979,0.06876225,-0.28933093,-0.427513778
t_e31a3e5b-36cc-446b-8f48-85c7b5f4b43a,256.1733398,1969,93.33349599,0.049319185,0.287417889,0.275248826,0.305803746,5.52863884,0.59847033,0.972699642,0.020032303,0,0.111641139,-9.809000015,0.135869563,major,0.61202687,0.036641311,98.17299652,4,0.293090671,0.117925875,-0.282437801,-0.086649023,-0.007512398,0.482134223,-0.009258822,-0.301681906,-0.28377527
t_2a7b6393-ebec-4e1f-a53f-2ad842532c99,347.0933228,1971,99.42015281,0.085482255,0.450139493,0.457033753,0.663219154,7.273746967,0.767306805,0.942687273,1.00E-06,0,0.290536523,-4.971000195,0.549348235,major,0.324341059,0.04675395,107.0910034,4,0.655369461,0.09622854,-0.037951358,0.007335068,-0.211181194,0.484659463,0.108712502,-0.304893762,-0.313269079
t_949441c4-4920-4eed-b929-2d67d37b7bd9,114.1333313,1983,98.96786564,0.002274113,0.243777782,0.229294851,0.290261626,5.105952263,0.95864743,0.846196771,0.0565884,0,0.259133339,-7.22300005,0.332015812,major,0.472338885,0.115355916,153.5800018,4,0.293100417,0.101301163,0.186855152,-0.525411665,-0.293849051,0.596497536,0.010453263,-0.280584097,0.418847978
