,playlistID,playlistName,nTracks,type,owner,description,url,nFoll,category,TrackName,TrackID,SampleURL,ReleaseYear,Genres,Popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mode,duration_ms,reducedGenre
0,54NczufWOFmJ5jUVvRPxaF,Sad songs to cry your heart out to 😭💔,173,user,v3diemfld4xwbj82y8p3vgm3i,Dm song requests&#x2F;song placements on ig @annik.spotify,https://open.spotify.com/user/v3diemfld4xwbj82y8p3vgm3i,291874,sad,Before You Go,2gMXnyrvIjhVBUZwvLZDMP,https://p.scdn.co/mp3-preview/fbeb79e81f4f5ab2dcb210d1ac85f028806302bd?cid=0c571addac5347aa9932ddc72e415d79,2019-11-22,"['pop', 'uk pop']",87,0.459,0.575,-4.858,0.0573,0.604,0.0,0.0885,0.183,111.881,3,1,215107,pop
1,54NczufWOFmJ5jUVvRPxaF,Sad songs to cry your heart out to 😭💔,173,user,v3diemfld4xwbj82y8p3vgm3i,Dm song requests&#x2F;song placements on ig @annik.spotify,https://open.spotify.com/user/v3diemfld4xwbj82y8p3vgm3i,291874,sad,Someone Like You,3bNv3VuUOKgrf5hu3YcuRo,https://p.scdn.co/mp3-preview/a79d612cac9b64e900ae937234e2838a88ebc415?cid=0c571addac5347aa9932ddc72e415d79,2011-01-24,"['british soul', 'pop', 'pop soul', 'uk pop']",84,0.556,0.319,-8.251,0.0281,0.893,0.0,0.0996,0.294,135.187,9,1,285240,pop
2,54NczufWOFmJ5jUVvRPxaF,Sad songs to cry your heart out to 😭💔,173,user,v3diemfld4xwbj82y8p3vgm3i,Dm song requests&#x2F;song placements on ig @annik.spotify,https://open.spotify.com/user/v3diemfld4xwbj82y8p3vgm3i,291874,sad,Daylight,1odExI7RdWc4BT515LTAwj,https://p.scdn.co/mp3-preview/43c7e8d0c7af7fdddfeb56e2b8b8a091e2091a99?cid=0c571addac5347aa9932ddc72e415d79,2023-04-14,"['gen z singer-songwriter', 'singer-songwriter pop']",97,0.508,0.43,-9.475,0.0335,0.83,0.000441,0.093,0.324,130.09,2,0,212954,pop
3,54NczufWOFmJ5jUVvRPxaF,Sad songs to cry your heart out to 😭💔,173,user,v3diemfld4xwbj82y8p3vgm3i,Dm song requests&#x2F;song placements on ig @annik.spotify,https://open.spotify.com/user/v3diemfld4xwbj82y8p3vgm3i,291874,sad,hayley.,6yP9ZYK6fNkFVv20nS2jAj,https://p.scdn.co/mp3-preview/9454846756807342a8d478e4a2c230e6a5fcd493?cid=0c571addac5347aa9932ddc72e415d79,2022-11-02,[unknown],51,0.49,0.311,-14.03,0.0405,0.913,0.00453,0.111,0.662,74.04,0,1,181298,uncategorized
4,54NczufWOFmJ5jUVvRPxaF,Sad songs to cry your heart out to 😭💔,173,user,v3diemfld4xwbj82y8p3vgm3i,Dm song requests&#x2F;song placements on ig @annik.spotify,https://open.spotify.com/user/v3diemfld4xwbj82y8p3vgm3i,291874,sad,About You,74WKPbLlT4hrlNBj0cmR33,https://p.scdn.co/mp3-preview/6eb4989e081e729e64f84d56a602540a4d38128f?cid=0c571addac5347aa9932ddc72e415d79,2021-07-30,"['rap', 'sad rap']",55,0.732,0.38,-11.402,0.152,0.107,9.53e-05,0.163,0.162,143.897,2,1,173351,rap
5,54NczufWOFmJ5jUVvRPxaF,Sad songs to cry your heart out to 😭💔,173,user,v3diemfld4xwbj82y8p3vgm3i,Dm song requests&#x2F;song placements on ig @annik.spotify,https://open.spotify.com/user/v3diemfld4xwbj82y8p3vgm3i,291874,sad,Empty Space,6GFfDRG1Sff3IZaD0TYro4,https://p.scdn.co/mp3-preview/706effd542584c2d78653f2771cb0f80426a152b?cid=0c571addac5347aa9932ddc72e415d79,2019-10-18,"['pop', 'talent show', 'uk pop']",68,0.548,0.515,-5.379,0.0562,0.22,0.0,0.0611,0.339,164.801,1,1,213307,pop
6,54NczufWOFmJ5jUVvRPxaF,Sad songs to cry your heart out to 😭💔,173,user,v3diemfld4xwbj82y8p3vgm3i,Dm song requests&#x2F;song placements on ig @annik.spotify,https://open.spotify.com/user/v3diemfld4xwbj82y8p3vgm3i,291874,sad,drivers license,5wANPM4fQCJwkGd4rN57mH,https://p.scdn.co/mp3-preview/8265999e85ac5e27aad154a8fdbdd502059e1d00?cid=0c571addac5347aa9932ddc72e415d79,2021-05-21,['pop'],88,0.561,0.431,-8.81,0.0578,0.768,1.42e-05,0.106,0.137,143.875,10,1,242013,pop
7,54NczufWOFmJ5jUVvRPxaF,Sad songs to cry your heart out to 😭💔,173,user,v3diemfld4xwbj82y8p3vgm3i,Dm song requests&#x2F;song placements on ig @annik.spotify,https://open.spotify.com/user/v3diemfld4xwbj82y8p3vgm3i,291874,sad,Somewhere Between,0NNbqN0LnZlAtFzxGKqZeG,https://p.scdn.co/mp3-preview/d408121b8356169744e1b7fb6762098736b34627?cid=0c571addac5347aa9932ddc72e415d79,2023-04-28,[unknown],46,0.295,0.157,-15.297,0.038,0.918,0.0,0.0788,0.135,80.555,1,1,295750,uncategorized
8,54NczufWOFmJ5jUVvRPxaF,Sad songs to cry your heart out to 😭💔,173,user,v3diemfld4xwbj82y8p3vgm3i,Dm song requests&#x2F;song placements on ig @annik.spotify,https://open.spotify.com/user/v3diemfld4xwbj82y8p3vgm3i,291874,sad,dark until september.,7n5LJO27QLW54MmCU8ok2e,https://p.scdn.co/mp3-preview/e64360340ca927b99f60835a47c421db19f32454?cid=0c571addac5347aa9932ddc72e415d79,2020-09-23,[unknown],55,0.754,0.448,-9.52,0.0385,0.639,7.03e-05,0.315,0.191,120.115,0,1,207680,uncategorized
9,54NczufWOFmJ5jUVvRPxaF,Sad songs to cry your heart out to 😭💔,173,user,v3diemfld4xwbj82y8p3vgm3i,Dm song requests&#x2F;song placements on ig @annik.spotify,https://open.spotify.com/user/v3diemfld4xwbj82y8p3vgm3i,291874,sad,Say You Won't Let Go,5uCax9HTNlzGybIStD3vDh,https://p.scdn.co/mp3-preview/2eed95a3c08cd10669768ce60d1140f85ba8b951?cid=0c571addac5347aa9932ddc72e415d79,2016-10-28,"['pop', 'talent show', 'uk pop']",88,0.358,0.557,-7.398,0.059,0.695,0.0,0.0902,0.494,85.043,10,1,211467,pop
