,playlistID,playlistName,nTracks,type,owner,description,url,nFoll,category,TrackName,TrackID,SampleURL,ReleaseYear,Genres,Popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mode,duration_ms,reducedGenre
0,1kvRVBTIpEs9qFLIDE3qhp,SONGS TO SING IN THE SHOWER 2021 🎤 (Good Morning song Hits Canta en la Ducha Dusche Chuveiro Doccia,81,user,werabbitz,"Wake up, have a shower and belt out the best sing-a-long songs ever. Perfect tunes for kickstarting your mornings with positive energy. <a href=""http://www.spotilisted.com"">Submissions Here</a> Updated weekly!",https://open.spotify.com/user/werabbitz,10533,shower,U Can't Touch This,1B75hgRqe7A4fwee3g3Wmu,https://p.scdn.co/mp3-preview/a95e93f6b7c1a54556508e3ebb9e15930133c710?cid=0c571addac5347aa9932ddc72e415d79,1990-02-20,['hip hop'],76,0.867,0.517,-13.222,0.0875,0.00456,0.000339,0.0864,0.866,133.148,11,0,257360,uncategorized
1,1kvRVBTIpEs9qFLIDE3qhp,SONGS TO SING IN THE SHOWER 2021 🎤 (Good Morning song Hits Canta en la Ducha Dusche Chuveiro Doccia,81,user,werabbitz,"Wake up, have a shower and belt out the best sing-a-long songs ever. Perfect tunes for kickstarting your mornings with positive energy. <a href=""http://www.spotilisted.com"">Submissions Here</a> Updated weekly!",https://open.spotify.com/user/werabbitz,10533,shower,Can't Hold Us (feat. Ray Dalton),3bidbhpOYeV4knp8AIu8Xn,https://p.scdn.co/mp3-preview/989bcb16f82e4cfcbfebdf8cf0dd91abe86c84d1?cid=0c571addac5347aa9932ddc72e415d79,2012-10-09,"['pop rap', 'seattle hip hop']",84,0.641,0.922,-4.457,0.0786,0.0291,0.0,0.0862,0.847,146.078,2,1,258343,pop
2,1kvRVBTIpEs9qFLIDE3qhp,SONGS TO SING IN THE SHOWER 2021 🎤 (Good Morning song Hits Canta en la Ducha Dusche Chuveiro Doccia,81,user,werabbitz,"Wake up, have a shower and belt out the best sing-a-long songs ever. Perfect tunes for kickstarting your mornings with positive energy. <a href=""http://www.spotilisted.com"">Submissions Here</a> Updated weekly!",https://open.spotify.com/user/werabbitz,10533,shower,Hey Ya! - Radio Mix / Club Mix,5WQ1hIc5d2EVbRQ8qsj8Uh,,2003-09-23,"['atl hip hop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'rap', 'southern hip hop']",0,0.719,0.967,-2.435,0.0552,0.0588,0.000249,0.206,0.964,79.505,0,1,235213,rap
3,1kvRVBTIpEs9qFLIDE3qhp,SONGS TO SING IN THE SHOWER 2021 🎤 (Good Morning song Hits Canta en la Ducha Dusche Chuveiro Doccia,81,user,werabbitz,"Wake up, have a shower and belt out the best sing-a-long songs ever. Perfect tunes for kickstarting your mornings with positive energy. <a href=""http://www.spotilisted.com"">Submissions Here</a> Updated weekly!",https://open.spotify.com/user/werabbitz,10533,shower,Rehab,4osg3vT6sXv6wNxm9Z6ucQ,,2006-01-01,"['british soul', 'neo soul']",0,0.434,0.872,-2.974,0.0702,0.0473,1.83e-06,0.396,0.732,71.515,0,1,213760,soul
4,1kvRVBTIpEs9qFLIDE3qhp,SONGS TO SING IN THE SHOWER 2021 🎤 (Good Morning song Hits Canta en la Ducha Dusche Chuveiro Doccia,81,user,werabbitz,"Wake up, have a shower and belt out the best sing-a-long songs ever. Perfect tunes for kickstarting your mornings with positive energy. <a href=""http://www.spotilisted.com"">Submissions Here</a> Updated weekly!",https://open.spotify.com/user/werabbitz,10533,shower,Blue (Da Ba Dee),374oL2AlfEPD4LZdjI3tjm,https://p.scdn.co/mp3-preview/b653489b9bf1717bd08137d0c8bec85bc78a75d0?cid=0c571addac5347aa9932ddc72e415d79,2017-04-07,[unknown],38,0.679,0.549,-8.67,0.0354,0.0276,1.93e-05,0.171,0.477,120.034,11,0,185304,uncategorized
5,1kvRVBTIpEs9qFLIDE3qhp,SONGS TO SING IN THE SHOWER 2021 🎤 (Good Morning song Hits Canta en la Ducha Dusche Chuveiro Doccia,81,user,werabbitz,"Wake up, have a shower and belt out the best sing-a-long songs ever. Perfect tunes for kickstarting your mornings with positive energy. <a href=""http://www.spotilisted.com"">Submissions Here</a> Updated weekly!",https://open.spotify.com/user/werabbitz,10533,shower,Blurred Lines,0n4bITAu0Y0nigrz3MFJMb,https://p.scdn.co/mp3-preview/748932e1ebfa6a93193805d34eafc3deb2987700?cid=0c571addac5347aa9932ddc72e415d79,2013-01-01,"['dance pop', 'neo soul', 'pop rap', 'r&b', 'urban contemporary']",79,0.853,0.599,-4.756,0.0411,0.00334,7.93e-06,0.0759,0.843,119.993,7,1,263827,pop
6,1kvRVBTIpEs9qFLIDE3qhp,SONGS TO SING IN THE SHOWER 2021 🎤 (Good Morning song Hits Canta en la Ducha Dusche Chuveiro Doccia,81,user,werabbitz,"Wake up, have a shower and belt out the best sing-a-long songs ever. Perfect tunes for kickstarting your mornings with positive energy. <a href=""http://www.spotilisted.com"">Submissions Here</a> Updated weekly!",https://open.spotify.com/user/werabbitz,10533,shower,death bed (coffee for your head) - Acoustic Mix,7kVssG465tU7XWgfrseOVS,https://p.scdn.co/mp3-preview/124161617d80fbd3184abf56301809aea21d1aac?cid=0c571addac5347aa9932ddc72e415d79,2020-07-16,[unknown],28,0.725,0.36,-6.513,0.058,0.959,9.73e-06,0.126,0.847,71.632,0,1,148356,uncategorized
7,1kvRVBTIpEs9qFLIDE3qhp,SONGS TO SING IN THE SHOWER 2021 🎤 (Good Morning song Hits Canta en la Ducha Dusche Chuveiro Doccia,81,user,werabbitz,"Wake up, have a shower and belt out the best sing-a-long songs ever. Perfect tunes for kickstarting your mornings with positive energy. <a href=""http://www.spotilisted.com"">Submissions Here</a> Updated weekly!",https://open.spotify.com/user/werabbitz,10533,shower,I Kissed A Girl,14iN3o8ptQ8cFVZTEmyQRV,https://p.scdn.co/mp3-preview/ef19ebf72ad80376469f598dc6269ed130ab3207?cid=0c571addac5347aa9932ddc72e415d79,2008-06-17,['pop'],77,0.699,0.76,-3.173,0.0677,0.00223,0.0,0.132,0.696,129.996,5,1,179640,pop
8,1kvRVBTIpEs9qFLIDE3qhp,SONGS TO SING IN THE SHOWER 2021 🎤 (Good Morning song Hits Canta en la Ducha Dusche Chuveiro Doccia,81,user,werabbitz,"Wake up, have a shower and belt out the best sing-a-long songs ever. Perfect tunes for kickstarting your mornings with positive energy. <a href=""http://www.spotilisted.com"">Submissions Here</a> Updated weekly!",https://open.spotify.com/user/werabbitz,10533,shower,You're Not Alone,3oNvhKTjOlQ91anJVoAuDx,,2017-06-23,[unknown],0,0.624,0.68,-7.711,0.0321,0.0492,9.51e-06,0.0549,0.608,135.018,10,1,217163,uncategorized
9,1kvRVBTIpEs9qFLIDE3qhp,SONGS TO SING IN THE SHOWER 2021 🎤 (Good Morning song Hits Canta en la Ducha Dusche Chuveiro Doccia,81,user,werabbitz,"Wake up, have a shower and belt out the best sing-a-long songs ever. Perfect tunes for kickstarting your mornings with positive energy. <a href=""http://www.spotilisted.com"">Submissions Here</a> Updated weekly!",https://open.spotify.com/user/werabbitz,10533,shower,Friday Night,6ulnr9cTnO0A8BMVozUDba,,2019-12-13,[unknown],0,0.626,0.493,-10.299,0.0341,0.704,0.0,0.107,0.25,105.064,7,1,180857,uncategorized
10,1kvRVBTIpEs9qFLIDE3qhp,SONGS TO SING IN THE SHOWER 2021 🎤 (Good Morning song Hits Canta en la Ducha Dusche Chuveiro Doccia,81,user,werabbitz,"Wake up, have a shower and belt out the best sing-a-long songs ever. Perfect tunes for kickstarting your mornings with positive energy. <a href=""http://www.spotilisted.com"">Submissions Here</a> Updated weekly!",https://open.spotify.com/user/werabbitz,10533,shower,Black And White,7rpNuuoMbid56XkDsx2FjE,https://p.scdn.co/mp3-preview/90ebfe37ee6f87709c169acac863c2f72ffe5d42?cid=0c571addac5347aa9932ddc72e415d79,2020-03-13,['pop'],69,0.443,0.582,-6.02,0.0482,0.0301,0.0,0.127,0.239,147.589,2,1,193090,pop
11,1kvRVBTIpEs9qFLIDE3qhp,SONGS TO SING IN THE SHOWER 2021 🎤 (Good Morning song Hits Canta en la Ducha Dusche Chuveiro Doccia,81,user,werabbitz,"Wake up, have a shower and belt out the best sing-a-long songs ever. Perfect tunes for kickstarting your mornings with positive energy. <a href=""http://www.spotilisted.com"">Submissions Here</a> Updated weekly!",https://open.spotify.com/user/werabbitz,10533,shower,I Don't Care (with Justin Bieber),0hVXuCcriWRGvwMV1r5Yn9,https://p.scdn.co/mp3-preview/437f7bd0260739dd4b37fb89f6b75894e61afe3f?cid=0c571addac5347aa9932ddc72e415d79,2019-07-12,[unknown],72,0.798,0.676,-5.041,0.0442,0.0902,0.0,0.0894,0.843,101.956,6,1,219947,uncategorized
