,playlistID,playlistName,nTracks,type,owner,description,url,nFoll,category,TrackName,TrackID,SampleURL,ReleaseYear,Genres,Popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mode,duration_ms,reducedGenre
0,7vVuHMA0kDt2zkStwJFlDE,"Sunday Chill ☕️ Sunday Morning, Sunday Mood, Sunday Vibes, Weekend vibes",102,user,chillyourmind,"Sunday Chill is the perfect playlist for those lazy Sundays to chill out, relax and enjoy the vibes - Updated weekly! sunday morning - sunday chill - sunday vibes - sunday mood - sunday relax - chill music - chill relax - relax - weekend mix - sunday mix - saturday mix - weekend chill music - cozy",https://open.spotify.com/user/chillyourmind,165553,sunday,Makeba,4TNFLwe6DhtR3Wn1JKMqMJ,https://p.scdn.co/mp3-preview/41db29480f9d12734adf491d3b5dd4da1005047c?cid=0c571addac5347aa9932ddc72e415d79,2016-11-25,['french pop'],84,0.825,0.663,-9.414,0.0687,0.423,0.415,0.286,0.417,116.051,2,1,248987,pop
1,7vVuHMA0kDt2zkStwJFlDE,"Sunday Chill ☕️ Sunday Morning, Sunday Mood, Sunday Vibes, Weekend vibes",102,user,chillyourmind,"Sunday Chill is the perfect playlist for those lazy Sundays to chill out, relax and enjoy the vibes - Updated weekly! sunday morning - sunday chill - sunday vibes - sunday mood - sunday relax - chill music - chill relax - relax - weekend mix - sunday mix - saturday mix - weekend chill music - cozy",https://open.spotify.com/user/chillyourmind,165553,sunday,I Love You Always Forever (Nora's Version),4eMaX3oR9aD0JTwZOrNQ9Y,https://p.scdn.co/mp3-preview/8066e212ff7bffe987a762cbb9a56dabf53f6114?cid=0c571addac5347aa9932ddc72e415d79,2023-06-16,"['lilith', 'new wave pop']",61,0.728,0.761,-6.484,0.0334,0.132,0.757,0.44,0.113,121.99,0,1,196230,pop
2,7vVuHMA0kDt2zkStwJFlDE,"Sunday Chill ☕️ Sunday Morning, Sunday Mood, Sunday Vibes, Weekend vibes",102,user,chillyourmind,"Sunday Chill is the perfect playlist for those lazy Sundays to chill out, relax and enjoy the vibes - Updated weekly! sunday morning - sunday chill - sunday vibes - sunday mood - sunday relax - chill music - chill relax - relax - weekend mix - sunday mix - saturday mix - weekend chill music - cozy",https://open.spotify.com/user/chillyourmind,165553,sunday,Hold Me Closer,5TJEBoTCDbJXiKMdCN9pd3,https://p.scdn.co/mp3-preview/49c34ce9f351cb5b5402f91886df6b720d149beb?cid=0c571addac5347aa9932ddc72e415d79,2021-10-22,"['glam rock', 'mellow gold', 'piano rock', 'rock']",74,0.659,0.772,-4.595,0.11,0.0748,0.000346,0.187,0.484,126.018,0,1,202246,rock
3,7vVuHMA0kDt2zkStwJFlDE,"Sunday Chill ☕️ Sunday Morning, Sunday Mood, Sunday Vibes, Weekend vibes",102,user,chillyourmind,"Sunday Chill is the perfect playlist for those lazy Sundays to chill out, relax and enjoy the vibes - Updated weekly! sunday morning - sunday chill - sunday vibes - sunday mood - sunday relax - chill music - chill relax - relax - weekend mix - sunday mix - saturday mix - weekend chill music - cozy",https://open.spotify.com/user/chillyourmind,165553,sunday,Nevermind,63SevszngYpZOwf63o61K4,https://p.scdn.co/mp3-preview/53dfd244b22ffa132a91d7b224885f44c2a776ee?cid=0c571addac5347aa9932ddc72e415d79,2017-06-30,['israeli pop'],79,0.6,0.688,-8.339,0.201,0.159,1.29e-05,0.409,0.0793,99.977,5,0,156600,pop
4,7vVuHMA0kDt2zkStwJFlDE,"Sunday Chill ☕️ Sunday Morning, Sunday Mood, Sunday Vibes, Weekend vibes",102,user,chillyourmind,"Sunday Chill is the perfect playlist for those lazy Sundays to chill out, relax and enjoy the vibes - Updated weekly! sunday morning - sunday chill - sunday vibes - sunday mood - sunday relax - chill music - chill relax - relax - weekend mix - sunday mix - saturday mix - weekend chill music - cozy",https://open.spotify.com/user/chillyourmind,165553,sunday,Anti-Hero - Kungs Remix,2oWpe2L8ypC080BxpDVuTY,https://p.scdn.co/mp3-preview/fa27e3752163d898f9226611548768acd08aba5c?cid=0c571addac5347aa9932ddc72e415d79,2022-11-11,['pop'],67,0.721,0.919,-5.351,0.0878,0.0266,0.001,0.348,0.675,115.997,11,1,194612,pop
5,7vVuHMA0kDt2zkStwJFlDE,"Sunday Chill ☕️ Sunday Morning, Sunday Mood, Sunday Vibes, Weekend vibes",102,user,chillyourmind,"Sunday Chill is the perfect playlist for those lazy Sundays to chill out, relax and enjoy the vibes - Updated weekly! sunday morning - sunday chill - sunday vibes - sunday mood - sunday relax - chill music - chill relax - relax - weekend mix - sunday mix - saturday mix - weekend chill music - cozy",https://open.spotify.com/user/chillyourmind,165553,sunday,Spring Embers,2slr1WHisMcjKMEz0RJ8u2,https://p.scdn.co/mp3-preview/df61f964d43f3b26c1d03f53a1158ecf663c69d8?cid=0c571addac5347aa9932ddc72e415d79,2023-04-14,"['deep house', 'electra', 'house', 'progressive house', 'swiss pop']",63,0.734,0.762,-7.013,0.0391,0.0261,0.952,0.12,0.251,122.005,9,0,212459,house
6,7vVuHMA0kDt2zkStwJFlDE,"Sunday Chill ☕️ Sunday Morning, Sunday Mood, Sunday Vibes, Weekend vibes",102,user,chillyourmind,"Sunday Chill is the perfect playlist for those lazy Sundays to chill out, relax and enjoy the vibes - Updated weekly! sunday morning - sunday chill - sunday vibes - sunday mood - sunday relax - chill music - chill relax - relax - weekend mix - sunday mix - saturday mix - weekend chill music - cozy",https://open.spotify.com/user/chillyourmind,165553,sunday,I Ain't Worried,4h9wh7iOZ0GGn8QVp4RAOB,https://p.scdn.co/mp3-preview/20d702edf937db0248603243a310404923d5bffb?cid=0c571addac5347aa9932ddc72e415d79,2022-05-13,"['piano rock', 'pop']",94,0.704,0.797,-5.927,0.0475,0.0826,0.000745,0.0546,0.825,139.994,0,1,148486,pop
7,7vVuHMA0kDt2zkStwJFlDE,"Sunday Chill ☕️ Sunday Morning, Sunday Mood, Sunday Vibes, Weekend vibes",102,user,chillyourmind,"Sunday Chill is the perfect playlist for those lazy Sundays to chill out, relax and enjoy the vibes - Updated weekly! sunday morning - sunday chill - sunday vibes - sunday mood - sunday relax - chill music - chill relax - relax - weekend mix - sunday mix - saturday mix - weekend chill music - cozy",https://open.spotify.com/user/chillyourmind,165553,sunday,Sundays In June,5i7iGpVuStrZVpO2sWP1Uv,https://p.scdn.co/mp3-preview/31ab1e108b52e9b617fa047deaf24bf30cb6a4fe?cid=0c571addac5347aa9932ddc72e415d79,2023-06-23,[unknown],46,0.638,0.904,-10.671,0.0379,0.06,0.826,0.317,0.0403,121.022,5,0,261963,uncategorized
8,7vVuHMA0kDt2zkStwJFlDE,"Sunday Chill ☕️ Sunday Morning, Sunday Mood, Sunday Vibes, Weekend vibes",102,user,chillyourmind,"Sunday Chill is the perfect playlist for those lazy Sundays to chill out, relax and enjoy the vibes - Updated weekly! sunday morning - sunday chill - sunday vibes - sunday mood - sunday relax - chill music - chill relax - relax - weekend mix - sunday mix - saturday mix - weekend chill music - cozy",https://open.spotify.com/user/chillyourmind,165553,sunday,I'll Be Around,1Swh2Td4N7mpMG9xyG09gA,https://p.scdn.co/mp3-preview/a043eba66562b227cb1ec81d4b4d2344d1acf07e?cid=0c571addac5347aa9932ddc72e415d79,2023-01-20,['uk dance'],60,0.691,0.68,-8.495,0.0332,0.31,0.422,0.0989,0.101,120.008,7,1,228094,uncategorized
9,7vVuHMA0kDt2zkStwJFlDE,"Sunday Chill ☕️ Sunday Morning, Sunday Mood, Sunday Vibes, Weekend vibes",102,user,chillyourmind,"Sunday Chill is the perfect playlist for those lazy Sundays to chill out, relax and enjoy the vibes - Updated weekly! sunday morning - sunday chill - sunday vibes - sunday mood - sunday relax - chill music - chill relax - relax - weekend mix - sunday mix - saturday mix - weekend chill music - cozy",https://open.spotify.com/user/chillyourmind,165553,sunday,Tides,11rPY1ZBEXbglvxDZkX1N3,https://p.scdn.co/mp3-preview/11b777ada7ebb4ea75d64e9ad2a57bc0dfb10f46?cid=0c571addac5347aa9932ddc72e415d79,2023-07-14,[unknown],49,0.554,0.808,-7.548,0.0662,0.0177,0.000521,0.545,0.0399,119.917,6,0,136000,uncategorized
