"","run_id","trial","musical_expertise","low","medium","high"
"1",3,"1","4","40","66","100"
"2",3,"2","4","10","100","100"
"3",7,"1","0","55","52","42"
"4",7,"2","0","38","55","54"
"5",8,"2","3","0","100","0"
"6",8,"1","3","82","100","15"
"7",9,"1","1","85","75","91"
"8",9,"2","1","61","92","78"
"9",14,"1","3","1","35","30"
"10",14,"2","3","12","52","52"
"11",15,"1","2","60","90","71"
"12",15,"2","2","58","87","72"
"13",18,"2","1","48","85","38"
"14",18,"1","1","61","83","40"
"15",19,"1","1","65","98","79"
"16",19,"2","1","97","99","87"
