"","run_id","song","selected_colour","familiarity","mystery","age","favourite_colour"
"1",1,"song1.wav","3","96","0","18 - 25","Green"
"2",1,"song2.wav","2","100","0","18 - 25","Green"
"3",1,"song3.wav","3","62","0","18 - 25","Green"
"4",1,"song4.wav","4","79","0","18 - 25","Green"
"5",3,"song3.wav","4","100","0","26 - 32","Red"
"6",3,"song1.wav","2","0","0","26 - 32","Red"
"7",3,"song4.wav","5","100","0","26 - 32","Red"
"8",3,"song2.wav","1","100","0","26 - 32","Red"
"9",4,"song4.wav","4","67","0","18 - 25","Yellow"
"10",4,"song3.wav","5","60","0","18 - 25","Yellow"
"11",4,"song1.wav","5","26","0","18 - 25","Yellow"
"12",4,"song2.wav","2","100","0","18 - 25","Yellow"
"13",5,"song3.wav","3","3","0","18 - 25","Red"
"14",5,"song1.wav","5","5","0","18 - 25","Red"
"15",5,"song4.wav","2","92","0","18 - 25","Red"
"16",5,"song2.wav","1","100","0","18 - 25","Red"
"17",7,"song1.wav","5","88","0","33 - 40","Green"
"18",7,"song3.wav","3","98","0","33 - 40","Green"
"19",7,"song4.wav","3","96","0","33 - 40","Green"
"20",7,"song2.wav","0","28","0","33 - 40","Green"
"21",8,"song3.wav","3","94","0","26 - 32","Blue"
"22",8,"song4.wav","5","98","0","26 - 32","Blue"
"23",8,"song1.wav","5","97","0","26 - 32","Blue"
"24",8,"song2.wav","4","96","0","26 - 32","Blue"
"25",11,"song1.wav","2","65","0","18 - 25","Blue"
"26",11,"song3.wav","0","89","0","18 - 25","Blue"
"27",11,"song2.wav","4","93","0","18 - 25","Blue"
"28",11,"song4.wav","0","84","0","18 - 25","Blue"
"29",12,"song2.wav","5","0","0","18 - 25","Blue"
"30",12,"song4.wav","4","0","0","18 - 25","Blue"
"31",12,"song3.wav","3","0","0","18 - 25","Blue"
"32",12,"song1.wav","2","100","0","18 - 25","Blue"
"33",14,"song1.wav","3","100","0","41 or older","Red"
"34",14,"song2.wav","1","34","0","41 or older","Red"
"35",14,"song4.wav","2","19","0","41 or older","Red"
"36",14,"song3.wav","1","100","0","41 or older","Red"
"37",15,"song1.wav","3","0","0","18 - 25","Red"
"38",15,"song3.wav","4","100","0","18 - 25","Red"
"39",15,"song4.wav","5","100","0","18 - 25","Red"
"40",15,"song2.wav","1","99","0","18 - 25","Red"
"41",17,"song3.wav","5","53","0","41 or older","Black"
"42",17,"song2.wav","1","54","0","41 or older","Black"
"43",17,"song4.wav","1","54","0","41 or older","Black"
"44",17,"song1.wav","0","100","0","41 or older","Black"
