"","run_id","song","valence","familiarity","type"
"1",15,"bad_day","67","yes","Instrumental"
"2",10,"bad_day","84","yes","Instrumental"
"3",19,"bad_day","54","no","Instrumental"
"4",11,"bad_day","33","yes","Instrumental"
"5",2,"bad_day","89","yes","Instrumental"
"6",6,"bad_day","64","no","Instrumental"
"7",1,"bad_day","41","yes","Instrumental"
"8",10,"bad_day","81","yes","Lyrics"
"9",11,"bad_day","34","yes","Lyrics"
"10",15,"bad_day","62","yes","Lyrics"
"11",6,"bad_day","28","yes","Lyrics"
"12",19,"bad_day","63","yes","Lyrics"
"13",1,"bad_day","70","yes","Lyrics"
"14",2,"bad_day","88","yes","Lyrics"
"15",10,"tears","32","yes","Instrumental"
"16",19,"tears","55","yes","Instrumental"
"17",11,"tears","37","yes","Instrumental"
"18",2,"tears","85","yes","Instrumental"
"19",6,"tears","71","yes","Instrumental"
"20",1,"tears","55","yes","Instrumental"
"21",15,"tears","33","yes","Instrumental"
"22",10,"tears","16","yes","Lyrics"
"23",11,"tears","38","yes","Lyrics"
"24",15,"tears","33","yes","Lyrics"
"25",19,"tears","56","yes","Lyrics"
"26",2,"tears","90","yes","Lyrics"
"27",6,"tears","33","yes","Lyrics"
"28",1,"tears","66","yes","Lyrics"
"29",10,"rick","100","yes","Instrumental"
"30",11,"rick","80","yes","Instrumental"
"31",15,"rick","64","yes","Instrumental"
"32",19,"rick","70","yes","Instrumental"
"33",2,"rick","93","yes","Instrumental"
"34",6,"rick","78","yes","Instrumental"
"35",1,"rick","77","yes","Instrumental"
"36",2,"rick","88","yes","Lyrics"
"37",10,"rick","86","yes","Lyrics"
"38",11,"rick","80","yes","Lyrics"
"39",15,"rick","62","yes","Lyrics"
"40",6,"rick","84","yes","Lyrics"
"41",19,"rick","90","yes","Lyrics"
"42",1,"rick","57","yes","Lyrics"
