success,trial_type,trial_index,time_elapsed,internal_node_id,run_id,condition,recorded_at,source_code_version,ip,user_agent,device,browser,browser_version,platform,platform_version,rt,stimulus,response,task,timeout,failed_images,failed_audio,failed_video,question_order
true,fullscreen,0,5846,0.0-0.0,16,1,2023-07-28 12:52:18,b2c816d5360f491c73de124b599fb059,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",WebKit,Chrome,114.0.0.0,Windows,10.0,,,,,,,,,
,html-button-response,1,8052,0.0-1.0,16,1,2023-07-28 12:52:18,b2c816d5360f491c73de124b599fb059,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",WebKit,Chrome,114.0.0.0,Windows,10.0,2202,Welcome to the experiment of group 1,0,,,,,,
,html-button-response,2,29075,0.0-2.0,16,1,2023-07-28 12:52:18,b2c816d5360f491c73de124b599fb059,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",WebKit,Chrome,114.0.0.0,Windows,10.0,21022,"
        <p>In this experiment, you will hear 4 songs playing.</p>
        <p> After each track, you will see an image. You will have 30s to memorise as many items as possible </p>
        <p> Then, you will need to select at most 18 items you remember.</p>",0,instruction,,,,,
true,preload,3,29077,0.0-3.0,16,1,2023-07-28 12:52:18,b2c816d5360f491c73de124b599fb059,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",WebKit,Chrome,114.0.0.0,Windows,10.0,,,,,false,[],[],[],
,audio-button-response,4,51162,0.0-4.0,16,1,2023-07-28 12:52:18,b2c816d5360f491c73de124b599fb059,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",WebKit,Chrome,114.0.0.0,Windows,10.0,20829,classic_audio_1.wav,0,audio_button1,,,,,
,image-button-response,5,86193,0.0-5.0,16,1,2023-07-28 12:52:18,b2c816d5360f491c73de124b599fb059,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",WebKit,Chrome,114.0.0.0,Windows,10.0,35028,image_1.jpg,0,image_button1,,,,,
,survey-multi-select,6,165288,0.0-6.0,16,1,2023-07-28 12:52:18,b2c816d5360f491c73de124b599fb059,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",WebKit,Chrome,114.0.0.0,Windows,10.0,79082,,"{""image_response1"":[""Courgette"",""Potato"",""Bread"",""Donut"",""Lemon"",""Orange"",""Raspberry"",""Strawberry"",""Cucumber"",""Pommegranate"",""Tomato"",""Croissant"",""Fries"",""Salmon""]}",multi_select1,,,,,[0]
,audio-button-response,7,187187,0.0-7.0,16,1,2023-07-28 12:52:18,b2c816d5360f491c73de124b599fb059,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",WebKit,Chrome,114.0.0.0,Windows,10.0,20320,metal_audio_1.wav,0,audio_button2,,,,,
,image-button-response,8,220259,0.0-8.0,16,1,2023-07-28 12:52:18,b2c816d5360f491c73de124b599fb059,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",WebKit,Chrome,114.0.0.0,Windows,10.0,33071,image_2.jpg,0,image_button2,,,,,
,survey-multi-select,9,252961,0.0-9.0,16,1,2023-07-28 12:52:18,b2c816d5360f491c73de124b599fb059,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",WebKit,Chrome,114.0.0.0,Windows,10.0,32691,,"{""image_response2"":[""Bee"",""Fire"",""Volcano"",""Lion"",""Polar bear"",""Parrot"",""Helicopter"",""Moon"",""Butterfly""]}",multi_select2,,,,,[0]
