success;trial_type;trial_index;time_elapsed;internal_node_id;run_id;condition;recorded_at;source_code_version;ip;user_agent;device;browser;browser_version;platform;platform_version;rt;stimulus;response;task;timeout;failed_images;failed_audio;failed_video;slider_start
true;fullscreen;0;2335;0.0-0.0;9;1;2023-07-28 12:44:47;57e32b63417d99daabf003b405236eda;;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36";Macintosh;Chrome;114.0.0.0;OS X;10_15_7;;;;;;;;;
;html-button-response;1;3439;0.0-1.0;9;1;2023-07-28 12:44:47;57e32b63417d99daabf003b405236eda;;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36";Macintosh;Chrome;114.0.0.0;OS X;10_15_7;1102;Welcome to the experiment;0;;;;;;
;html-button-response;2;6911;0.0-2.0;9;1;2023-07-28 12:44:47;57e32b63417d99daabf003b405236eda;;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36";Macintosh;Chrome;114.0.0.0;OS X;10_15_7;3471;"<p>In this experiment, you will hear 6 excerpts of varying rhythmic complexity.</p>
        <p> At the end of each track, you must rate the level of your enjoyment.</p>";0;instruction;;;;;
true;preload;3;6912;0.0-3.0;9;1;2023-07-28 12:44:47;57e32b63417d99daabf003b405236eda;;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36";Macintosh;Chrome;114.0.0.0;OS X;10_15_7;;;;;false;[];[];[];
;audio-slider-response;4;16219;0.0-4.0-0.0;9;1;2023-07-28 12:44:47;57e32b63417d99daabf003b405236eda;;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36";Macintosh;Chrome;114.0.0.0;OS X;10_15_7;9205;high_complex_1.wav;91;audio_slider;;;;;50
;audio-slider-response;5;26376;0.0-4.0-0.1;9;1;2023-07-28 12:44:47;57e32b63417d99daabf003b405236eda;;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36";Macintosh;Chrome;114.0.0.0;OS X;10_15_7;10064;mid_complex_2.wav;92;audio_slider;;;;;50
;audio-slider-response;6;36018;0.0-4.0-0.2;9;1;2023-07-28 12:44:47;57e32b63417d99daabf003b405236eda;;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36";Macintosh;Chrome;114.0.0.0;OS X;10_15_7;9547;low_complex_2.wav;61;audio_slider;;;;;50
;audio-slider-response;7;46018;0.0-4.0-0.3;9;1;2023-07-28 12:44:47;57e32b63417d99daabf003b405236eda;;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36";Macintosh;Chrome;114.0.0.0;OS X;10_15_7;9893;mid_complex_1.wav;75;audio_slider;;;;;50
;audio-slider-response;8;55308;0.0-4.0-0.4;9;1;2023-07-28 12:44:47;57e32b63417d99daabf003b405236eda;;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36";Macintosh;Chrome;114.0.0.0;OS X;10_15_7;9195;high_complex_2.wav;78;audio_slider;;;;;50
;audio-slider-response;9;64607;0.0-4.0-0.5;9;1;2023-07-28 12:44:47;57e32b63417d99daabf003b405236eda;;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36";Macintosh;Chrome;114.0.0.0;OS X;10_15_7;9205;low_complex_1.wav;85;audio_slider;;;;;50
;html-button-response;10;72401;0.0-5.0;9;1;2023-07-28 12:44:47;57e32b63417d99daabf003b405236eda;;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36";Macintosh;Chrome;114.0.0.0;OS X;10_15_7;7793;<p>On the next slide we will ask you to define your <b>musical experience</b>. <p></p> <b>Non-musician</b> means you don't regularly play an instrument. <p></p> <b>Amateur musician</b> means you regularly play an instrument as a hobby, but you do not get paid. <p></p> <b>Music student</b> means you are engaged in formal music education. <p></p> <b>Semi-professional musician</b> means you get paid to play, but it is not your primary source of income. <p></p> <b>Professional musican</b> means that playing music is your primary source of income.  </p>;0;instruction2;;;;;
;html-button-response;11;73687;0.0-6.0;9;1;2023-07-28 12:44:47;57e32b63417d99daabf003b405236eda;;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36";Macintosh;Chrome;114.0.0.0;OS X;10_15_7;1285;<p>How would you define your musical experience?</p>;1;text_button_response;;;;;
true;fullscreen;12;74695;0.0-7.0;9;1;2023-07-28 12:44:47;57e32b63417d99daabf003b405236eda;;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36";Macintosh;Chrome;114.0.0.0;OS X;10_15_7;;;;;;;;;
;html-keyboard-response;13;76942;0.0-8.0;9;1;2023-07-28 12:44:47;57e32b63417d99daabf003b405236eda;;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36";Macintosh;Chrome;114.0.0.0;OS X;10_15_7;2244;Thank you for your participation. You may now close the window.;meta;;;;;;
true;fullscreen;0;2481;0.0-0.0;15;1;2023-07-28 12:47:05;57e32b63417d99daabf003b405236eda;;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.4 Safari/605.1.15";Macintosh;Safari;15.4;OS X;10_15_7;;;;;;;;;
;html-button-response;1;3781;0.0-1.0;15;1;2023-07-28 12:47:05;57e32b63417d99daabf003b405236eda;;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.4 Safari/605.1.15";Macintosh;Safari;15.4;OS X;10_15_7;1295;Welcome to the experiment;0;;;;;;
;html-button-response;2;9394;0.0-2.0;15;1;2023-07-28 12:47:05;57e32b63417d99daabf003b405236eda;;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.4 Safari/605.1.15";Macintosh;Safari;15.4;OS X;10_15_7;5611;"<p>In this experiment, you will hear 6 excerpts of varying rhythmic complexity.</p>
        <p> At the end of each track, you must rate the level of your enjoyment.</p>";0;instruction;;;;;
true;preload;3;9397;0.0-3.0;15;1;2023-07-28 12:47:05;57e32b63417d99daabf003b405236eda;;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.4 Safari/605.1.15";Macintosh;Safari;15.4;OS X;10_15_7;;;;;false;[];[];[];
;audio-slider-response;4;21247;0.0-4.0-0.0;15;1;2023-07-28 12:47:05;57e32b63417d99daabf003b405236eda;;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.4 Safari/605.1.15";Macintosh;Safari;15.4;OS X;10_15_7;10762;low_complex_1.wav;60;audio_slider;;;;;50
