success,trial_type,trial_index,time_elapsed,internal_node_id,run_id,condition,recorded_at,source_code_version,ip,user_agent,device,browser,browser_version,platform,platform_version,rt,stimulus,response,task,question_order,timeout,failed_images,failed_audio,failed_video,slider_start
true,fullscreen,0,5727,0.0-0.0,16,1,2023-07-28 12:48:49,1d0798adfa59f9e8acce3717d57b77cf,,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/115.0,Macintosh,Firefox,115.0,OS X,10.15,,,,,,,,,,
,html-button-response,1,8619,0.0-1.0,16,1,2023-07-28 12:48:49,1d0798adfa59f9e8acce3717d57b77cf,,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/115.0,Macintosh,Firefox,115.0,OS X,10.15,2890,Welcome to the experiment,0,,,,,,,
,html-button-response,2,31664,0.0-2.0,16,1,2023-07-28 12:48:49,1d0798adfa59f9e8acce3717d57b77cf,,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/115.0,Macintosh,Firefox,115.0,OS X,10.15,23043,"This study aims to see if musical experience and training affects the induced emotions of nonvocal music.
                      During this study you will be asked to answer questions considering your musical background.
                      
                      Then you will be presented short music clips and asked to rate them according to
                      how strongly they make you feel certain emotions.",0,instruction,,,,,,
,survey-multi-choice,3,160723,0.0-3.0-0.0,16,1,2023-07-28 12:48:49,1d0798adfa59f9e8acce3717d57b77cf,,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/115.0,Macintosh,Firefox,115.0,OS X,10.15,129054,,"{""gender"":""Female"",""msi1"":""10 or more"",""msi2"":""3-4"",""msi3"":""1"",""msi4"":""6-9"",""msi5"":""2""}",multi_choice,"[0,1,2,3,4,5]",,,,,
true,preload,4,160728,0.0-4.0,16,1,2023-07-28 12:48:49,1d0798adfa59f9e8acce3717d57b77cf,,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/115.0,Macintosh,Firefox,115.0,OS X,10.15,,,,,,false,[],[],[],
,audio-slider-response,5,187800,0.0-5.0-0.0,16,1,2023-07-28 12:48:49,1d0798adfa59f9e8acce3717d57b77cf,,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/115.0,Macintosh,Firefox,115.0,OS X,10.15,26837,001.mp3,61,audio_slider,,,,,,50
,html-slider-response,6,194820,0.0-5.0-1.0,16,1,2023-07-28 12:48:49,1d0798adfa59f9e8acce3717d57b77cf,,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/115.0,Macintosh,Firefox,115.0,OS X,10.15,7016,sad?,37,text_slider_response,,,,,,50
,html-slider-response,7,198647,0.0-5.0-2.0,16,1,2023-07-28 12:48:49,1d0798adfa59f9e8acce3717d57b77cf,,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/115.0,Macintosh,Firefox,115.0,OS X,10.15,3826,tender,36,text_slider_response,,,,,,50
,html-slider-response,8,204409,0.0-5.0-3.0,16,1,2023-07-28 12:48:49,1d0798adfa59f9e8acce3717d57b77cf,,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/115.0,Macintosh,Firefox,115.0,OS X,10.15,5760,fear,37,text_slider_response,,,,,,50
,html-slider-response,9,213089,0.0-5.0-4.0,16,1,2023-07-28 12:48:49,1d0798adfa59f9e8acce3717d57b77cf,,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/115.0,Macintosh,Firefox,115.0,OS X,10.15,8679,anger,11,text_slider_response,,,,,,50
,audio-slider-response,10,239024,0.0-5.0-0.1,16,1,2023-07-28 12:48:49,1d0798adfa59f9e8acce3717d57b77cf,,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/115.0,Macintosh,Firefox,115.0,OS X,10.15,25499,061.mp3,3,audio_slider,,,,,,50
,html-slider-response,11,245557,0.0-5.0-1.1,16,1,2023-07-28 12:48:49,1d0798adfa59f9e8acce3717d57b77cf,,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/115.0,Macintosh,Firefox,115.0,OS X,10.15,6533,sad?,64,text_slider_response,,,,,,50
,html-slider-response,12,249185,0.0-5.0-2.1,16,1,2023-07-28 12:48:49,1d0798adfa59f9e8acce3717d57b77cf,,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/115.0,Macintosh,Firefox,115.0,OS X,10.15,3626,tender,61,text_slider_response,,,,,,50
,html-slider-response,13,254369,0.0-5.0-3.1,16,1,2023-07-28 12:48:49,1d0798adfa59f9e8acce3717d57b77cf,,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/115.0,Macintosh,Firefox,115.0,OS X,10.15,5182,fear,19,text_slider_response,,,,,,50
,html-slider-response,14,259470,0.0-5.0-4.1,16,1,2023-07-28 12:48:49,1d0798adfa59f9e8acce3717d57b77cf,,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/115.0,Macintosh,Firefox,115.0,OS X,10.15,5098,anger,57,text_slider_response,,,,,,50
,audio-slider-response,15,279201,0.0-5.0-0.2,16,1,2023-07-28 12:48:49,1d0798adfa59f9e8acce3717d57b77cf,,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/115.0,Macintosh,Firefox,115.0,OS X,10.15,19531,151.mp3,69,audio_slider,,,,,,50
,html-slider-response,16,282777,0.0-5.0-1.2,16,1,2023-07-28 12:48:49,1d0798adfa59f9e8acce3717d57b77cf,,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/115.0,Macintosh,Firefox,115.0,OS X,10.15,3571,sad?,39,text_slider_response,,,,,,50
,html-slider-response,17,285537,0.0-5.0-2.2,16,1,2023-07-28 12:48:49,1d0798adfa59f9e8acce3717d57b77cf,,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/115.0,Macintosh,Firefox,115.0,OS X,10.15,2758,tender,66,text_slider_response,,,,,,50
,html-slider-response,18,288626,0.0-5.0-3.2,16,1,2023-07-28 12:48:49,1d0798adfa59f9e8acce3717d57b77cf,,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/115.0,Macintosh,Firefox,115.0,OS X,10.15,3087,fear,61,text_slider_response,,,,,,50
,html-slider-response,19,291842,0.0-5.0-4.2,16,1,2023-07-28 12:48:49,1d0798adfa59f9e8acce3717d57b77cf,,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/115.0,Macintosh,Firefox,115.0,OS X,10.15,3215,anger,38,text_slider_response,,,,,,50
,audio-slider-response,20,310437,0.0-5.0-0.3,16,1,2023-07-28 12:48:49,1d0798adfa59f9e8acce3717d57b77cf,,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/115.0,Macintosh,Firefox,115.0,OS X,10.15,18405,091.mp3,32,audio_slider,,,,,,50
,html-slider-response,21,312814,0.0-5.0-1.3,16,1,2023-07-28 12:48:49,1d0798adfa59f9e8acce3717d57b77cf,,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/115.0,Macintosh,Firefox,115.0,OS X,10.15,2375,sad?,39,text_slider_response,,,,,,50
,html-slider-response,22,315581,0.0-5.0-2.3,16,1,2023-07-28 12:48:49,1d0798adfa59f9e8acce3717d57b77cf,,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/115.0,Macintosh,Firefox,115.0,OS X,10.15,2766,tender,62,text_slider_response,,,,,,50
,html-slider-response,23,318195,0.0-5.0-3.3,16,1,2023-07-28 12:48:49,1d0798adfa59f9e8acce3717d57b77cf,,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/115.0,Macintosh,Firefox,115.0,OS X,10.15,2613,fear,22,text_slider_response,,,,,,50
,html-slider-response,24,321008,0.0-5.0-4.3,16,1,2023-07-28 12:48:49,1d0798adfa59f9e8acce3717d57b77cf,,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/115.0,Macintosh,Firefox,115.0,OS X,10.15,2812,anger,30,text_slider_response,,,,,,50
,audio-slider-response,25,347238,0.0-5.0-0.4,16,1,2023-07-28 12:48:49,1d0798adfa59f9e8acce3717d57b77cf,,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/115.0,Macintosh,Firefox,115.0,OS X,10.15,25685,031.mp3,66,audio_slider,,,,,,50
,html-slider-response,26,350751,0.0-5.0-1.4,16,1,2023-07-28 12:48:49,1d0798adfa59f9e8acce3717d57b77cf,,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/115.0,Macintosh,Firefox,115.0,OS X,10.15,3512,sad?,40,text_slider_response,,,,,,50
,html-slider-response,27,354683,0.0-5.0-2.4,16,1,2023-07-28 12:48:49,1d0798adfa59f9e8acce3717d57b77cf,,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/115.0,Macintosh,Firefox,115.0,OS X,10.15,3929,tender,69,text_slider_response,,,,,,50
,html-slider-response,28,358539,0.0-5.0-3.4,16,1,2023-07-28 12:48:49,1d0798adfa59f9e8acce3717d57b77cf,,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/115.0,Macintosh,Firefox,115.0,OS X,10.15,3854,fear,59,text_slider_response,,,,,,50
,html-slider-response,29,361006,0.0-5.0-4.4,16,1,2023-07-28 12:48:49,1d0798adfa59f9e8acce3717d57b77cf,,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/115.0,Macintosh,Firefox,115.0,OS X,10.15,2465,anger,36,text_slider_response,,,,,,50
,audio-slider-response,30,386142,0.0-5.0-0.5,16,1,2023-07-28 12:48:49,1d0798adfa59f9e8acce3717d57b77cf,,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/115.0,Macintosh,Firefox,115.0,OS X,10.15,24608,121.mp3,57,audio_slider,,,,,,50
,html-slider-response,31,390185,0.0-5.0-1.5,16,1,2023-07-28 12:48:49,1d0798adfa59f9e8acce3717d57b77cf,,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/115.0,Macintosh,Firefox,115.0,OS X,10.15,4040,sad?,63,text_slider_response,,,,,,50
,html-slider-response,32,393005,0.0-5.0-2.5,16,1,2023-07-28 12:48:49,1d0798adfa59f9e8acce3717d57b77cf,,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/115.0,Macintosh,Firefox,115.0,OS X,10.15,2818,tender,63,text_slider_response,,,,,,50
,html-slider-response,33,397894,0.0-5.0-3.5,16,1,2023-07-28 12:48:49,1d0798adfa59f9e8acce3717d57b77cf,,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/115.0,Macintosh,Firefox,115.0,OS X,10.15,4887,fear,33,text_slider_response,,,,,,50
,html-slider-response,34,406680,0.0-5.0-4.5,16,1,2023-07-28 12:48:49,1d0798adfa59f9e8acce3717d57b77cf,,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/115.0,Macintosh,Firefox,115.0,OS X,10.15,8784,anger,71,text_slider_response,,,,,,50
true,fullscreen,35,407686,0.0-6.0,16,1,2023-07-28 12:48:49,1d0798adfa59f9e8acce3717d57b77cf,,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/115.0,Macintosh,Firefox,115.0,OS X,10.15,,,,,,,,,,
,html-keyboard-response,36,459987,0.0-7.0,16,1,2023-07-28 12:48:49,1d0798adfa59f9e8acce3717d57b77cf,,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/115.0,Macintosh,Firefox,115.0,OS X,10.15,52300,Thank you for your participation. You may now close the window.,meta,,,,,,,
true,fullscreen,0,2180,0.0-0.0,10,1,2023-07-28 12:46:09,1d0798adfa59f9e8acce3717d57b77cf,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",Macintosh,Chrome,114.0.0.0,OS X,10_15_7,,,,,,,,,,
,html-button-response,1,3442,0.0-1.0,10,1,2023-07-28 12:46:09,1d0798adfa59f9e8acce3717d57b77cf,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",Macintosh,Chrome,114.0.0.0,OS X,10_15_7,1260,Welcome to the experiment,0,,,,,,,
,html-button-response,2,12970,0.0-2.0,10,1,2023-07-28 12:46:09,1d0798adfa59f9e8acce3717d57b77cf,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",Macintosh,Chrome,114.0.0.0,OS X,10_15_7,9526,"This study aims to see if musical experience and training affects the induced emotions of nonvocal music.
                      During this study you will be asked to answer questions considering your musical background.
                      
                      Then you will be presented short music clips and asked to rate them according to
                      how strongly they make you feel certain emotions.",0,instruction,,,,,,
