success,trial_type,trial_index,time_elapsed,internal_node_id,run_id,condition,recorded_at,source_code_version,ip,user_agent,device,browser,browser_version,platform,platform_version,rt,stimulus,response,task,slider_start,question_order
true,fullscreen,0,2592,0.0-0.0,102,1,2023-07-28 12:58:58,7a4f6f46072172baf6cc5ed6ca5ffe46,84.238.50.148,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",WebKit,Chrome,115.0.0.0,Windows,10.0,,,,,,
,html-button-response,1,6350,0.0-1.0,102,1,2023-07-28 12:58:58,7a4f6f46072172baf6cc5ed6ca5ffe46,84.238.50.148,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",WebKit,Chrome,115.0.0.0,Windows,10.0,3755,"Hallo to our Music and mood online-survey by Zoe, Thomas, Miriam and Lale",0,,,
,html-button-response,2,9313,0.0-2.0,102,1,2023-07-28 12:58:58,7a4f6f46072172baf6cc5ed6ca5ffe46,84.238.50.148,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",WebKit,Chrome,115.0.0.0,Windows,10.0,2960,"
        <p>This survey may need at most five minutes.</p>
        <p> You have to use a scale with a slider.</p>",0,instruction,,
,html-slider-response,3,12684,0.0-3.0,102,1,2023-07-28 12:58:58,7a4f6f46072172baf6cc5ed6ca5ffe46,84.238.50.148,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",WebKit,Chrome,115.0.0.0,Windows,10.0,3368,"<p>When I am sad, I listen to music.</p>",100,text_slider_response,50,
,html-slider-response,4,15338,0.0-4.0,102,1,2023-07-28 12:58:58,7a4f6f46072172baf6cc5ed6ca5ffe46,84.238.50.148,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",WebKit,Chrome,115.0.0.0,Windows,10.0,2652,"<p>When I am happy, I listen to music.</p>",100,text_slider_response,50,
,html-slider-response,5,17571,0.0-5.0,102,1,2023-07-28 12:58:58,7a4f6f46072172baf6cc5ed6ca5ffe46,84.238.50.148,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",WebKit,Chrome,115.0.0.0,Windows,10.0,2230,"<p>When I am angry, I listen to music.</p>",97,text_slider_response,50,
,survey-likert,6,39180,0.0-6.0-0.0,102,1,2023-07-28 12:58:58,7a4f6f46072172baf6cc5ed6ca5ffe46,84.238.50.148,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",WebKit,Chrome,115.0.0.0,Windows,10.0,21602,,"{""Singing"":3,""Drums"":3,""Piano"":4}",likert_survey,,"[0,1,2,3,4,5]"
,survey-likert,7,58639,0.0-7.0-0.0,102,1,2023-07-28 12:58:58,7a4f6f46072172baf6cc5ed6ca5ffe46,84.238.50.148,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",WebKit,Chrome,115.0.0.0,Windows,10.0,19449,,"{""Singing"":1,""Drums"":1,""Piano"":4}",likert_survey,,"[0,1,2,3,4,5]"
,survey-likert,8,78699,0.0-8.0-0.0,102,1,2023-07-28 12:58:58,7a4f6f46072172baf6cc5ed6ca5ffe46,84.238.50.148,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",WebKit,Chrome,115.0.0.0,Windows,10.0,20052,,"{""Singing"":4,""Drums"":1,""Piano"":2}",likert_survey,,"[0,1,2,3,4,5]"
true,fullscreen,0,2079,0.0-0.0,100,1,2023-07-28 12:58:52,7a4f6f46072172baf6cc5ed6ca5ffe46,77.213.212.125,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",Macintosh,Chrome,114.0.0.0,OS X,10_15_7,,,,,,
